"Index","Library Ref","Library Path","Footprint Ref","Footprint Path","Description","Manufacturer 1","Manufacturer Part Number 1","Location","LCSC","Digikey","Mouser","TME","JAMECO","Manufacturer","Manufacturer PartNo","Package","AEC-Q","Value","Tempco","Voltage","CapType","Supplier","Supplier PartNo","Dielectric"
"ce7d7344-04db-4e78-aee1-636c96788e77","CAPC0805",".\SCHLIB\PASSIVES.SCHLIB","CAPC0805","","CAP,CER,1uF,10V,X5R,0805","KYOCERA","","R9, TO R23","","","","","","KYOCERA","0805ZC105KAT4A","0805","","1uF","X5R","10V","CER","","","X5R"
"7a3a5066-b8b1-4ebe-aa5f-656177dddd15","CAPF",".\SCHLIB\PASSIVES.SCHLIB","CAPTHBOX508","","CAP,FILM,39nF,50V,MP,BOX508","PANASONIC","","","","","","","2313247","PANASONIC","ECQ-V1H393JL3","BOX508","","39nF","MP","50V","FILM","JAMECO","2313247","MP"
"9d7e160f-b73d-4bbd-ad83-02fb7fa6064f","CAPTA",".\SCHLIB\PASSIVES.SCHLIB","CAPTAA","","CAP,TANT,3u3,10V,TANT-A","VENKEL","","R343","","","","","","VENKEL","TA010TCM335MAR","TANT-A","","3u3","TANT","10V","TANT","","",""
"ef7b5fb6-b5cc-42df-991e-70ea9f82fee4","CAPC0603",".\SCHLIB\PASSIVES.SCHLIB","CAPC0603","","CAP,CER,4n7,50V,0603","KEMET","","","","","","","","KEMET","C0603C472JSRAC","0603","","4n7","X7R","50V","CER","","",""
"8e340ac1-59c6-441d-8fc1-80175622dd64","","","","","CAP,CER,100nF,25V,DEAD","JOHANSON","","","","","","","","JOHANSON","250R15Z104MJ4T","DEAD","","100nF","X7R","25V","CER","","",""
"188449e5-2076-4380-9cb1-9ee979b71838","CAPTA",".\SCHLIB\PASSIVES.SCHLIB","","","CAP,TANT,10uF,10V","CALCHIP","","R458, R457","","","","","","CALCHIP","TCKTA106AT","","","10uF","TANT","10V","TANT","","",""
"d0ce5f9b-4e70-4f85-b294-2029fb9f5812","CAPTA",".\SCHLIB\PASSIVES.SCHLIB","CAPTA1206","","CAP,TANT,4u7,16V,1206","ROHM","","R467, R468","","","","","","ROHM","TCFGA1C475M8R","1206","","4u7","TANT","16V","TANT","","",""
"0378a265-1829-45cf-a946-e80341e74ba8","CAPTA",".\SCHLIB\PASSIVES.SCHLIB","","","CAP,TANT,3u3,10V","FUJITSU TOWA","","R471","","","","","","FUJITSU TOWA","","","","3u3","TANT","10V","TANT","","",""
"0d128134-1fef-406a-b396-27647e7b0a7c","CAPTA",".\SCHLIB\PASSIVES.SCHLIB","","","CAP,TANT,2u2,10V","NIC","","R465","","","","","","NIC","","","","2u2","TANT","10V","TANT","","",""
"124f7976-e61d-4e25-9a01-f6f978080526","CAPTA",".\SCHLIB\PASSIVES.SCHLIB","","","CAP,TANT,4u7,16V","MATSUSHITA","","R463","","","","","","MATSUSHITA","","","","4u7","TANT","16V","TANT","","",""
"8dba5483-2d3a-4f80-a935-9a7ccfe93fae","CAPC0805",".\SCHLIB\PASSIVES.SCHLIB","CAPC0805","","CAP,CER,100nF,50V,0805","KEMET","","R466","","","","","","KEMET","C0805C10K5RAC","0805","","100nF","X7R","50V","CER","","",""
"c753981f-fbd3-43a5-a79a-277b6f2bdddf","CAPC0603",".\SCHLIB\PASSIVES.SCHLIB","","","CAP,CER,10nF,50V,0603","PANASONIC","","R470","","","","","","PANASONIC","ECJ1VB1H103K","0603","","10nF","X7R","50V","CER","","",""
"ffa0fb42-2b0a-45d2-bfd5-5f290cd2cbbb","CAPTA",".\SCHLIB\PASSIVES.SCHLIB","","","CAP,TANT,2u2,25V,TANT-B","VENKEL","","R418, R419, R420","","","","","","VENKEL","TCM1D225BT","TANT-B","","2u2","","25V","TANT","","",""
"9d75ea71-2519-4e95-9df8-53f77a617af5","CAPC0805",".\SCHLIB\PASSIVES.SCHLIB","","","CAP,CER,4P7,50V,0805","","","R399","","","","","","","","0805","","4P7","C0G","50V","CER","","",""
"93cd4e68-3483-4240-a673-3589e7d495de","CAPC0805",".\SCHLIB\PASSIVES.SCHLIB","CAPC0805","","CAP,CER,1NF,50V,0805","","","R391","","","","","","","","0805","","1NF","X7R","50V","CER","","",""
"037aa74a-f728-45d8-a5f4-4371e77d4d7d","CAPC0805",".\SCHLIB\PASSIVES.SCHLIB","CAPC0805","","CAP,CER,33PF,50V,0805","","","R398","","","","","","","","0805","","33PF","C0G","50V","CER","","",""
"47a1874f-30b3-4a06-912d-0782938116f8","CAPC0805",".\SCHLIB\PASSIVES.SCHLIB","CAPC0805","","CAP,CER,150PF,50V,0805","","","R396","","","","","","","","0805","","150PF","C0G","50V","CER","","",""
"5daaae51-498f-4a94-900c-2f5af2bd566d","CAPC0805",".\SCHLIB\PASSIVES.SCHLIB","CAPC0805","","CAP,CER,47NF,50V,0805","","","R386","","","","","","","","0805","","47NF","X7R","50V","CER","","",""
"5781085d-fcfe-410c-8898-dfed5a1125e9","CAPC0805",".\SCHLIB\PASSIVES.SCHLIB","CAPC0805","","CAP,CER,10NF,50V,0805","","","R402","","","","","","","","0805","","10NF","X7R","50V","CER","","",""
"19431f38-ea3e-411c-9bd1-eb564af414a5","CAPC0805",".\SCHLIB\PASSIVES.SCHLIB","CAPC0805","","CAP,CER,680PF,50V,0805","","","R401","","","","","","","","0805","","680PF","C0G","50V","CER","","",""
"bc8e8612-511b-4409-b8a4-ff06a5f01e6c","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,3U3,50V,0805","EBAY","","R513","","","","","","EBAY","","0805","","3U3","X7R","50V","CER","","",""
"f60e49be-b466-4174-bbbe-df644b96e252","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,6N8,50V,0805","EBAY","","R514","","","","","","EBAY","","0805","","6N8","X7R","50V","CER","","",""
"bc218f70-ac56-4484-993f-447bd336b583","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,680PF,50V,0805","EBAY","","R515","","","","","","EBAY","","0805","","680PF","X7R","50V","CER","","",""
"01902402-be4c-43db-87c4-3fe2728f6cad","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,22NF,50V,0805","EBAY","","R516","","","","","","EBAY","","0805","","22NF","X7R","50V","CER","","",""
"a9e82b9d-bfd7-4361-b0d7-a10abce839db","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,150NF,50V,0805","EBAY","","R517","","","","","","EBAY","","0805","","150NF","X7R","50V","CER","","",""
"ad8807c6-be7a-4706-b774-37202dabb8ed","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,4N7,50V,0805","EBAY","","R518","","","","","","EBAY","","0805","","4N7","X7R","50V","CER","","",""
"7241f935-1683-443b-a4d9-ea5890ed1802","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,20PF,50V,0805","EBAY","","R519","","","","","","EBAY","","0805","","20PF","X7R","50V","CER","","",""
