"Index","Library Ref","Library Path","Footprint Ref","Footprint Path","Description","Manufacturer 1","Manufacturer Part Number 1","Location","LCSC","Digikey","Mouser","TME","JAMECO","Package","Value","Voltage","CapType","Dielectric"
"ce7d7344-04db-4e78-aee1-636c96788e77","CAPC0805",".\SCHLIB\PASSIVES.SCHLIB","CAPC0805","","CAP,CER,1uF,10V,X5R,0805","KYOCERA","0805ZC105KAT4A","R9, TO R23","","478-KGM21AR71A105KLCT-ND","0805ZC105KAT4A","","","0805","1uF","10V","CER","X5R"
"7a3a5066-b8b1-4ebe-aa5f-656177dddd15","CAPF",".\SCHLIB\PASSIVES.SCHLIB","CAPTHBOX508","","CAP,FILM,39nF,50V,MP,BOX508","PANASONIC","ECQ-V1H393JL3","","","","ECQ-V1H393JL3","","2313247","BOX508","39nF","50V","FILM","MP"
"9d7e160f-b73d-4bbd-ad83-02fb7fa6064f","CAPTA",".\SCHLIB\PASSIVES.SCHLIB","CAPTAA","","CAP,TANT,3u3,10V,TANT-A","VENKEL","TA010TCM335MAR","R343","","","","","","TANT-A","3u3","10V","TANT","TANT"
"ef7b5fb6-b5cc-42df-991e-70ea9f82fee4","CAPC0603",".\SCHLIB\PASSIVES.SCHLIB","CAPC0603","","CAP,CER,4n7,50V,0603","KEMET","C0603C472JSRAC","","","","","","","0603","4n7","50V","CER","X7R"
"8e340ac1-59c6-441d-8fc1-80175622dd64","","","","","CAP,CER,100nF,25V,DEAD","JOHANSON","250R15Z104MJ4T","","","","","","","DEAD","100nF","25V","CER","X7R"
"188449e5-2076-4380-9cb1-9ee979b71838","CAPTA",".\SCHLIB\PASSIVES.SCHLIB","","","CAP,TANT,10uF,10V","CALCHIP","TCKTA106AT","R458, R457","","","","","","","10uF","10V","TANT","TANT"
"d0ce5f9b-4e70-4f85-b294-2029fb9f5812","CAPTA",".\SCHLIB\PASSIVES.SCHLIB","CAPTA1206","","CAP,TANT,4u7,16V,1206","ROHM","TCFGA1C475M8R","R467, R468","","","","","","1206","4u7","16V","TANT","TANT"
"0378a265-1829-45cf-a946-e80341e74ba8","CAPTA",".\SCHLIB\PASSIVES.SCHLIB","","","CAP,TANT,3u3,10V","FUJITSU TOWA","","R471","","","","","","","3u3","10V","TANT","TANT"
"0d128134-1fef-406a-b396-27647e7b0a7c","CAPTA",".\SCHLIB\PASSIVES.SCHLIB","","","CAP,TANT,2u2,10V","NIC","","R465","","","","","","","2u2","10V","TANT","TANT"
"124f7976-e61d-4e25-9a01-f6f978080526","CAPTA",".\SCHLIB\PASSIVES.SCHLIB","","","CAP,TANT,4u7,16V","MATSUSHITA","","R463","","","","","","","4u7","16V","TANT","TANT"
"8dba5483-2d3a-4f80-a935-9a7ccfe93fae","CAPC0805",".\SCHLIB\PASSIVES.SCHLIB","CAPC0805","","CAP,CER,100nF,50V,0805","KEMET","C0805C10K5RAC","R466","","","","","","0805","100nF","50V","CER","X7R"
"c753981f-fbd3-43a5-a79a-277b6f2bdddf","CAPC0603",".\SCHLIB\PASSIVES.SCHLIB","","","CAP,CER,10nF,50V,0603","PANASONIC","ECJ1VB1H103K","R470","","","","","","0603","10nF","50V","CER","X7R"
"ffa0fb42-2b0a-45d2-bfd5-5f290cd2cbbb","CAPTA",".\SCHLIB\PASSIVES.SCHLIB","","","CAP,TANT,2u2,25V,TANT-B","VENKEL","TCM1D225BT","R418, R419, R420","","","","","","TANT-B","2u2","25V","TANT",""
"9d75ea71-2519-4e95-9df8-53f77a617af5","CAPC0805",".\SCHLIB\PASSIVES.SCHLIB","","","CAP,CER,4P7,50V,0805","","","R399","","","","","","0805","4P7","50V","CER","C0G"
"93cd4e68-3483-4240-a673-3589e7d495de","CAPC0805",".\SCHLIB\PASSIVES.SCHLIB","CAPC0805","","CAP,CER,1NF,50V,0805","","","R391","","","","","","0805","1NF","50V","CER","X7R"
"037aa74a-f728-45d8-a5f4-4371e77d4d7d","CAPC0805",".\SCHLIB\PASSIVES.SCHLIB","CAPC0805","","CAP,CER,33PF,50V,0805","","","R398","","","","","","0805","33PF","50V","CER","C0G"
"47a1874f-30b3-4a06-912d-0782938116f8","CAPC0805",".\SCHLIB\PASSIVES.SCHLIB","CAPC0805","","CAP,CER,150PF,50V,0805","","","R396","","","","","","0805","150PF","50V","CER","C0G"
"5daaae51-498f-4a94-900c-2f5af2bd566d","CAPC0805",".\SCHLIB\PASSIVES.SCHLIB","CAPC0805","","CAP,CER,47NF,50V,0805","","","R386","","","","","","0805","47NF","50V","CER","X7R"
"5781085d-fcfe-410c-8898-dfed5a1125e9","CAPC0805",".\SCHLIB\PASSIVES.SCHLIB","CAPC0805","","CAP,CER,10NF,50V,0805","","","R402","","","","","","0805","10NF","50V","CER","X7R"
"19431f38-ea3e-411c-9bd1-eb564af414a5","CAPC0805",".\SCHLIB\PASSIVES.SCHLIB","CAPC0805","","CAP,CER,680PF,50V,0805","","","R401","","","","","","0805","680PF","50V","CER","C0G"
"bc8e8612-511b-4409-b8a4-ff06a5f01e6c","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,3U3,50V,0805","EBAY","","R513","","","","","","0805","3U3","50V","CER","X7R"
"f60e49be-b466-4174-bbbe-df644b96e252","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,6N8,50V,0805","EBAY","","R514","","","","","","0805","6N8","50V","CER","X7R"
"bc218f70-ac56-4484-993f-447bd336b583","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,680PF,50V,0805","EBAY","","R515","","","","","","0805","680PF","50V","CER","X7R"
"01902402-be4c-43db-87c4-3fe2728f6cad","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,22NF,50V,0805","EBAY","","R516","","","","","","0805","22NF","50V","CER","X7R"
"a9e82b9d-bfd7-4361-b0d7-a10abce839db","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,150NF,50V,0805","EBAY","","R517","","","","","","0805","150NF","50V","CER","X7R"
"ad8807c6-be7a-4706-b774-37202dabb8ed","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,4N7,50V,0805","EBAY","","R518","","","","","","0805","4N7","50V","CER","X7R"
"7241f935-1683-443b-a4d9-ea5890ed1802","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,20PF,50V,0805","EBAY","","R519","","","","","","0805","20PF","50V","CER","X7R"
"4762895c-3290-4e2e-bd0d-7f87edebbadb","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,100PF,50V,0805","EBAY","","R520","","","","","","0805","100PF","50V","CER","X7R"
"e313627d-7f59-4eaf-a436-1d32f4fad79a","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,2N2,50V,0805","EBAY","","R521","","","","","","0805","2N2","50V","CER","X7R"
"af973989-f450-4a31-9238-7b363cfc9c10","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,3N3,50V,0805","EBAY","","R522","","","","","","0805","3N3","50V","CER","X7R"
"27cf19c7-c0d0-4c11-a474-4025ab0d8aff","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,220NF,50V,0805","EBAY","","R523","","","","","","0805","220NF","50V","CER","X7R"
"629bb573-6113-4fd7-b2e5-2271d6c070d2","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,330NF,50V,0805","EBAY","","R524","","","","","","0805","330NF","50V","CER","X7R"
"154741da-8405-44ec-a925-0d9ee3b56bec","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,10PF,50V,0805","EBAY","","R525","","","","","","0805","10PF","50V","CER","X7R"
"7e0c2fc1-d74e-4879-9b82-cacec6db1754","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,680NF,50V,0805","EBAY","","R526","","","","","","0805","680NF","50V","CER","X7R"
"e626b799-a37f-4d2b-af8e-b51414cec1fa","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,470NF,50V,0805","EBAY","","R527","","","","","","0805","470NF","50V","CER","X7R"
"606325b7-c54f-432e-add5-47e854c04613","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,68NF,50V,0805","EBAY","","R528","","","","","","0805","68NF","50V","CER","X7R"
"fbe26e06-08df-46c4-875a-fe9fb7db1f1f","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,47NF,50V,0805","EBAY","","R529","","","","","","0805","47NF","50V","CER","X7R"
"5acb309c-e658-4cf0-993f-d685aaabce1f","CAPC",".\SCHLIB\PASSIVES.SCHLIB","CAPCTH508","","CAP,CER,470NF,50V,0805","EBAY","","R530","","","","","","0805","470NF","50V","CER","X7R"
