"Index","Library Ref","Library Path","Footprint Ref","Footprint Path","Description","Manufacturer 1","Manufacturer Part Number 1","Location","LCSC","Digikey","Mouser","TME","Package","Frequency","Tempco","Mounting","XTALtype"
"e1cf9ce7-eec0-4120-b79d-883d4525c5ba","","","","","XTAL,CRYSTAL,25MHz,HC49/US,SMD","CTS","ATS250BSM-1","R95","","","","","HC49/US","25MHz","","SMD","CRYSTAL"
"91b61649-46e9-469f-ad99-5e462cee51d3","","","","","XTAL,CRYSTAL,32.768kHz,CAN-TH,TH","SEIKO","VT200F-6PF20PPM","R96","","","","","CAN-TH","32.768kHz","","TH","CRYSTAL"
"3a2aaa14-09c6-4f16-8191-106a43b012da","","","","","XTAL,CRYSTAL,16MHz,3225,SMD","EPSON","TSX-3225-16.0000MF09Z-AC0","R129","","","","","3225","16MHz","","SMD","CRYSTAL"
"6c64edd6-ed29-4d2d-900e-e10216cbad42","","","","","XTAL,CRYSTAL,22.11,HC49/US,SMD","EPSON","FS22.11","R373","","","","","HC49/US","22.11","","SMD","CRYSTAL"
"8c15da46-8616-4a9d-9864-8b3fb728b6ee","","","","","XTAL,OSCILLATOR,25MHz,7050","VISHAY","XOSM573BE-25","R374","","","","","7050","25MHz","","","OSCILLATOR"
"dce94a6c-7863-43d9-b337-6a2993292d1d","","","","","XTAL,CRYSTAL,16MHz,HC49/US,SMD","MISC","A160E07","R512","","","","","HC49/US","16MHz","","SMD","CRYSTAL"
"767d9b0e-51e0-450d-adba-d756207ce3cb","","","","","XTAL,CRYSTAL,11.0592MHz,HC49TH,TH","FOX","FOX115","A0025","","","","","HC49TH","11.0592MHz","","TH","CRYSTAL"
"485edb90-a445-4404-92bf-a0c9598e15ad","","","","","XTAL,CRYSTAL,4MHz,HC49TH,TH","MISC","MISC","A0582","","","","","HC49TH","4MHz","","TH","CRYSTAL"
"d16c41ec-a888-4d25-93fa-49e9494df468","","","","","XTAL,CRYSTAL,8MHz,HC49/US,SMD","ABRACON","ABLS-8.000MHZ-B4-T","R639","","535-10212-1-ND","","","HC49/US","8MHz","","SMD","CRYSTAL"
"467be71a-8fde-4c12-8be4-0c4a47a9cfa6","","","","","XTAL,CRYSTAL,32.768kHz,3215,SMD","ABRACON","ABS07AIG-32.768KHZ-7-T","","","535-13350-1-ND","","","3215","32.768kHz","","SMD","CRYSTAL"
"b961dc52-f578-4e86-9936-f30ff82a3979","","","","","XTAL,CRYSTAL,16MHz,3225,SMD","TKD","SX32Y016000B91T","R753","","","","","3225","16MHz","","SMD","CRYSTAL"
"d64de6b5-657f-4d6d-a812-14026b366a01","","","","","XTAL,CRYSTAL,32.768kHz,3215,SMD","EPSON","FC-135R 32.7680KA-A3","R757","","","","","3215","32.768kHz","","SMD","CRYSTAL"
"aaede13c-7a39-49d4-9229-04ef60725efd","","","","","XTAL,CRYSTAL,6.0MHz,HC49/US,SMD","","FS6.000","A0369","","","","","HC49/US","6.0MHz","","SMD","CRYSTAL"
"8bf26b45-540b-4445-9812-cd2142558d84","","","","","XTAL,CRYSTAL,4.096MHz,HC49TH,TH","","FS0496-2","A0712, A0723","","","","","HC49TH","4.096MHz","","TH","CRYSTAL"
"7eb508f1-9d9e-49ec-80eb-6cf99322328d","","","","","XTAL,CRYSTAL,6.176MHz,HC49TH,TH","","FS6.176","A0724","","","","","HC49TH","6.176MHz","","TH","CRYSTAL"
"394c3aa4-3fee-4f83-80f8-b0436093ed84","","","","","XTAL,OSCILLATOR,20MHz,SMD","","SG615G-20","A0780, A0827, A0828, A0848, A0849, A0850","","","","","","20MHz","","SMD","OSCILLATOR"
"5e2b9364-6c9f-44e3-94a6-b0c5f32be54f","","","","","XTAL,12MHz","","ILSI-12.0-113","A0797","","","","","","12MHz","","",""
"540c7170-22bb-4761-925f-c69524cfc8d9","","","","","XTAL,12V OVEN,10MHz,MODULE,CHASSIS","","HCO361DPFN","A1397","","","","","","10MHz","","MODULE,CHASSIS","12V OVEN"
