"Index","Library Ref","Library Path","Footprint Ref","Footprint Path","Description","Manufacturer 1","Manufacturer Part Number 1","Location","LCSC","Digikey","Mouser","TME","JAMECO","Vr","If","Power","Package","DIOtype","GenericName","Mounting","Remarks"
"e1b714cf-25fc-414a-84c4-d03a3572bab2","DIODE-BRIDGE-P-N-AC-AC",".\SCHLIB\DIODES.SCHLIB","","","DIODE,BRIDGE,1000V,500mA,MB10S,SO4,SMD","ONSEMI","MB10S","R41","","","","","","1000V","500mA","","SO4","BRIDGE","MB10S","SMD",""
"d8e5e986-7e41-45d0-a76a-7644886b83e0","DIODE-SILICON-A-N-K",".\SCHLIB\DIODES.SCHLIB","SOT23","","DIODE,SWITCHING,75V,300mA,MMBD4148-7,SOT23,SMD","VISHAY","MMBD4148-7","R113, R117, R118, R119","","","","","","75V","300mA","","SOT23","SWITCHING","MMBD4148-7","SMD",""
"ecdfc821-f5a4-48ec-bb55-702b25098800","DIODE-SILICON-A-N-K",".\SCHLIB\DIODES.SCHLIB","SOT23","","DIODE,SWITCHING,85V,210mA,BAW56,SOT23,SMD","NXP","BAW56","R121, R127","","","","","","85V","210mA","","SOT23","SWITCHING","BAW56","SMD",""
"30e2e9d0-a114-4c00-b838-cf2641d69fea","DIODE-ZENER-ANK",".\SCHLIB\DIODES.SCHLIB","SOT23","","DIODE,ZENER,3V3,225mW,MMBZ5226BLT1,SOT23,SMD","NXP","MMBZ5226BLT1","R125, R126","","","","","","3V3","","225mW","SOT23","ZENER","MMBZ5226BLT1","SMD",""
"5463a6dc-e463-4ea1-874e-a4d43fb06a29","DIODE-ARRAY-SCHOTTKY-AKS",".\SCHLIB\DIODES.SCHLIB","SOT23","","DIODE,SCHOTTKY,ARRAY,CC,30V,200mA,BAT54C,SOT23,SMD","VISHAY","BAT54C","R141","","","","","","30V","200mA","","SOT23","SCHOTTKY,ARRAY,CC","BAT54C","SMD",""
"c2616daa-b7be-4a1b-9b60-192f815b3739","DIODE-SCHOTTKY-KA",".\SCHLIB\DIODES.SCHLIB","SMA","","DIODE,SCHOTTKY,40V,2.1A,10MQ04,SMA,SMD","VISHAY","10MQ04","R170 TO R177","","","","","","40V","2.1A","","SMA","SCHOTTKY","10MQ04","SMD",""
"89843048-a0a8-4e89-a880-6db4acc9b6b0","DIODE-SCHOTTKY-A-N-K",".\SCHLIB\DIODES.SCHLIB","SOT23","","DIODE,SCHOTTKY,40V,500mA,ZHCS500,SOT23,SMD","DIODES INC","ZHCS500","R179","","","","","","40V","500mA","","SOT23","SCHOTTKY","ZHCS500","SMD",""
"96a11a07-34a0-4e4b-9ef3-94c8c2d5c953","DIODE-ARRAY-SILICON-AKS",".\SCHLIB\DIODES.SCHLIB","SOT23","","DIODE,ARRAY,SERIES,75V,150mA,BAV99,SOT23,SMD","NXP","BAV99","R178, R454, R452","","","","","","75V","150mA","","SOT23","ARRAY,SERIES","BAV99","SMD",""
"989b8c6c-16a6-45c2-bdc8-6f60bc63ddcf","DIODE-SILICON-KA",".\SCHLIB\DIODES.SCHLIB","SMC","","DIODE,SCHOTTKY,40V,4A,MBRS340,SMC,SMD","ONSEMI","MBRS340","R161 TO R169","","","","","","40V","4A","","SMC","SCHOTTKY","MBRS340","SMD",""
"f6c92eaa-4aab-403b-a1d5-80c46811355e","DIODE-SILICON-A-N-K",".\SCHLIB\DIODES.SCHLIB","SOT23","","DIODE,GENERAL PURPOSE,75V,0.3A,1N4148,SOT23,SMD","NXP","1N4148","R301","","","","","","75V","0.3A","","SOT23","GENERAL PURPOSE","1N4148","SMD",""
