"Index","Library Ref","Library Path","Footprint Ref","Footprint Path","Description","Manufacturer 1","Manufacturer Part Number 1","Location","LCSC","Digikey","Mouser","TME","Current (Hold)","Current (Break)","Voltage","Package","GenericName","FUSEtype","Mounting"
"225ef1f6-4b72-4e53-a81d-048e759ea93a","","","","","FUSE,SINGLE BLOW,1A,PICOFUSE,AXIAL,TH","LITTELFUSE","1A","R409","","","","","1A","","","PICOFUSE,AXIAL","","SINGLE BLOW","TH"
"39dc5d55-1129-44a8-a123-cca74f01daaf","","","","","FUSE,SINGLE BLOW,0.315A,250V,RADIAL 8.5X8.1,TH","BUSSMAN","SR-5-315MA-AP","A0179","","","","","0.315A","","250V","RADIAL 8.5X8.1","","SINGLE BLOW","TH"
"8ec45210-2a38-4367-9910-4cb6ad94237f","","","","","FUSE","","MF-R005-2","A0173","","","","","","","","","","",""
"49b04abf-6db0-4a47-845b-fa063c00dd2c","","","","","FUSE,SINGLE BLOW,0.25A,250V,RADIAL 8.5X8.1,TH","SCHURTER","0034.6038","A0155","","","693-0034.6038","","0.25A","","250V","RADIAL 8.5X8.1","","SINGLE BLOW","TH"
"45822107-f5af-48a6-8646-9e60316cda6e","","","","","FUSE,0.5A","LITTELFUSE","251.500","A0580","","","","","0.5A","","","","","",""
"ae045914-6dfd-4aee-8a2c-84d21a15da21","","","","","FUSE,SINGLE BLOW,1A,125V,PICOFUSE,AXIAL,TH","LITTELFUSE","251001","A0622","","","","","1A","","125V","PICOFUSE,AXIAL","","SINGLE BLOW","TH"
"17f03063-ad7f-47ca-ad10-673ca0ba7324","","","","","FUSE,SINGLE BLOW,1A,PICOFUSE,AXIAL,TH","LITTELFUSE","PICOFUSE","A0633, A0645, A0685, A0683, A0655, A0636, A0654, A0669, A0660","","","","","1A","","","PICOFUSE,AXIAL","","SINGLE BLOW","TH"
"bf500864-ce5c-46b1-a58d-d86dea2d30c9","","","","","FUSE,SINGLE BLOW,5A,PICOFUSE,AXIAL,TH","LITTELFUSE","PICOFUSE","A0639, A0670","","","","","5A","","","PICOFUSE,AXIAL","","SINGLE BLOW","TH"
"0ba7a8da-10d3-40c7-9ca1-0d711b3c9fc7","","","","","FUSE,SINGLE BLOW,1A,PICOFUSE,AXIAL,TH","LITTELFUSE","PICOFUSE","A0637","","","","","1A","","","PICOFUSE,AXIAL","","SINGLE BLOW","TH"
"0bd35bcd-21f4-495e-bf6c-c6733ffa4523","","","","","FUSE,SINGLE BLOW,2A,PICOFUSE,AXIAL,TH","LITTELFUSE","PICOFUSE","A0637","","","","","2A","","","PICOFUSE,AXIAL","","SINGLE BLOW","TH"
"9b72ef8a-8145-4518-96db-8292fb4667e4","","","","","FUSE,SINGLE BLOW,3A,PICOFUSE,AXIAL,TH","LITTELFUSE","PICOFUSE","A0637","","","","","3A","","","PICOFUSE,AXIAL","","SINGLE BLOW","TH"
"aba30c91-f28f-4bac-a205-9e4a9e767976","","","","","FUSE,SINGLE BLOW,4A,PICOFUSE,AXIAL,TH","LITTELFUSE","PICOFUSE","A0637","","","","","4A","","","PICOFUSE,AXIAL","","SINGLE BLOW","TH"
"34a823ab-29d4-477b-9b1c-4be55336c8fd","","","","","FUSE,SINGLE BLOW,5A,PICOFUSE,AXIAL,TH","LITTELFUSE","PICOFUSE","A0637","","","","","5A","","","PICOFUSE,AXIAL","","SINGLE BLOW","TH"
"09ed61fc-77ab-4953-a3ac-53fb7e17218a","","","","","FUSE,125OHm,PTC","TDK","B59707A0120A062","R611","","","","","125OHm","","","PTC","","",""
"cfadfb56-0d23-4285-8049-c73c678aa5b0","","","","","FUSE,POLYFUSE,0.35,6V,0805,SMD","LITTELFUSE","0805L035YR","R747","","","","","0.35","0.75","6V","0805","","POLYFUSE","SMD"
"3e6d12c8-7275-4f1d-bafb-90d7d829d52c","","","","","FUSE,POLYFUSE,50mA,15V,0603,SMD","RUILON","SMD0603P005TF","R746","c167317","","","","50mA","","15V","0603","","POLYFUSE","SMD"
"34fce0db-94f8-4ba7-be67-815972ca449b","","","","","FUSE,42OHm,PTC","","PRG21AR420MB1RA","R784","","","","","42OHm","","","PTC","","",""
"7823a8ba-663d-4adf-a3b6-b1195bb218cd","","","","","FUSE,SINGLE BLOW,15A,600V,FLUKE,PLUG","BUSSMAN","KTK-R-15","A0526","","","","","15A","","600V","FLUKE","","SINGLE BLOW","PLUG"
"b1e87120-7e2d-40a8-b8f7-09b5f635bca4","","","","","FUSE","LITTELFUSE","2AG 1/2A 224","A0527","","","","","","","","","","",""
"96f1e80b-726f-488d-a1ff-3332e511c35d","","","","","FUSE,POLYFUSE,0.75A,SMD","","","","","","","","0.75A","","","","","POLYFUSE","SMD"
"4789b29e-f383-4b0e-9bf7-6d062db7603f","","","","","FUSE","","","","","","","","","","","","","",""
