"Index","Library Ref","Library Path","Footprint Ref","Footprint Path","Description","Manufacturer 1","Manufacturer Part Number 1","Location","LCSC","Digikey","Mouser","TME","JAMECO","GenericName","Package","ICtype"
"af5585f9-e135-485e-b4ef-b0573d2c4778","","","","","IC,OPAMP,DUAL,CMOS,TLC27L2CDR,SO8","TI","TLC27L2CDR","R1, R2, R3","","","","","","TLC27L2CDR","SO8","OPAMP,DUAL,CMOS"
"60dd1759-ce41-46e8-8e20-29f345ba932d","","","","","IC,LOGIC,SINGLEGATE,SWITCH,74V1G66,SOT353","TI","74V1G66","R33","","","","","","74V1G66","SOT353","LOGIC,SINGLEGATE,SWITCH"
"bc921747-f0a9-4278-88f0-244114aea2b8","","","","","IC,REGULATOR,BUCK,MIC2238-SSYML-TR,SON12","MICREL","MIC2238-SSYML-TR","R35","","","","","","MIC2238-SSYML-TR","SON12","REGULATOR,BUCK"
"4c1dbec2-f304-4b7e-aaeb-9c80834becfa","","","","","IC,INTERFACE,DRIVER,SN65LVDS1DBVR,SOT23-5","TI","SN65LVDS1DBVR","R36","","","","","","SN65LVDS1DBVR","SOT23-5","INTERFACE,DRIVER"
"87e54b0f-dd9b-4ea9-80df-48ba985e8a2c","","","","","IC,SENSOR,TEMPERATURE,LM75AD,112,SO8","NXP","LM75AD,112","R37","","","","","","LM75AD,112","SO8","SENSOR,TEMPERATURE"
"7cc271df-6da2-442f-9d2f-e30ef1b1b411","","","","","IC,AD-DA,PCF8591T,SO16W","NXP","PCF8591T","R38","","","","","","PCF8591T","SO16W","AD-DA"
"e8576140-1a46-4f85-9fd0-a7bbc8efc784","","","","","IC,OPAMP,SINGLE,TS951,SOT25","ST","TS951","R39","","","","","","TS951","SOT25","OPAMP,SINGLE"
"f5be6e48-bef1-4382-8133-331bc4dfd868","","","","","IC,OPAMP,SINGLE,TS971,SOT25","ST","TS971","R40","","","","","","TS971","SOT25","OPAMP,SINGLE"
"798dea9e-4552-4796-89a1-ed8ad3f63cf8","","","","","IC,REGULATOR,7805CT,TO220","MOTOROLA","7805CT","R42","","","","","","7805CT","TO220","REGULATOR"
"efdd2062-ab12-4562-a069-ff7298bb1482","","","","","IC,OPAMP,DUAL,TS942IN,DIP8","ST","TS942IN","R43","","","","","","TS942IN","DIP8","OPAMP,DUAL"
"27257fe6-60b7-4338-92b4-242652d3b451","","","","","IC,OPAMP,DUAL,TS912IN,DIP8","ST","TS912IN","R44","","","","","","TS912IN","DIP8","OPAMP,DUAL"
"531b1390-58ed-4a38-9530-78fd953afe06","","","","","IC,OPAMP,DUAL,TS972IN,DIP8","ST","TS972IN","R45","","","","","","TS972IN","DIP8","OPAMP,DUAL"
"94d8a5a1-5296-4eb4-9f9b-d0a584af38a5","","","","","IC,OPAMP,DUAL,TS922IN,DIP8","ST","TS922IN","R46","","","","","","TS922IN","DIP8","OPAMP,DUAL"
"8d8db383-f469-4015-88b8-fd3a2019433a","","","","","IC,OPAMP,DUAL,TS952IN,DIP8","ST","TS952IN","R47","","","","","","TS952IN","DIP8","OPAMP,DUAL"
"f63e8c30-d314-46eb-b364-d1ee720e084b","","","","","IC,OPAMP,DUAL,TS462CN,DIP8","ST","TS462CN","R48","","","","","","TS462CN","DIP8","OPAMP,DUAL"
"bdebf228-e9ca-48f3-8d6f-6e95f5f85c6d","","","","","IC,OPAMP,DUAL,TS922I,SO8","ST","TS922I","R49","","","","","","TS922I","SO8","OPAMP,DUAL"
"7ef2d939-109f-499c-a927-0da493b2ee2b","","","","","IC,OPAMP,QUAD,TS924AI,SO14","ST","TS924AI","R50","","","","","","TS924AI","SO14","OPAMP,QUAD"
"83b5fdf7-e31e-44d1-afcb-b9d6e555a76c","","","","","IC,OPAMP,QUAD,TS925I,TSSOP14","ST","TS925I","R51","","","","","","TS925I","TSSOP14","OPAMP,QUAD"
"6eb695c8-3e89-4d75-a160-30b1d8842b17","","","","","IC,OPAMP,DUAL,TS942I,SO8","ST","TS942I","R52","","","","","","TS942I","SO8","OPAMP,DUAL"
"38f07344-4989-4f65-97e2-00ff23464d22","","","","","IC,OPAMP,QUAD,TS914I,SO14","ST","TS914I","R53","","","","","","TS914I","SO14","OPAMP,QUAD"
"1233a45f-3e2b-416d-aba5-ca31de7f6d53","","","","","IC,OPAMP,QUAD,TS954I,SO14","ST","TS954I","R54","","","","","","TS954I","SO14","OPAMP,QUAD"
"b9ebd02e-76e8-481b-8ac1-3804b4add767","","","","","IC,OPAMP,QUAD,TS904I,SO14","ST","TS904I","R55","","","","","","TS904I","SO14","OPAMP,QUAD"
"e004f173-5578-4de6-bd41-a9116192cb2d","","","","","IC,OPAMP,DUAL,TS912I,SO8","ST","TS912I","R56","","","","","","TS912I","SO8","OPAMP,DUAL"
"3d865a06-d315-43b6-b60c-262e7c806d8a","","","","","IC,OPAMP,DUAL,TS462C,SO8","ST","TS462C","R57","","","","","","TS462C","SO8","OPAMP,DUAL"
"cdd0b436-9ca1-481c-9b4d-3d46cf158dbd","","","","","IC,OPAMP,DUAL,TS972I,SO8","ST","TS972I","R58","","","","","","TS972I","SO8","OPAMP,DUAL"
"faf6917d-fad7-4fef-9288-1a2525c239b2","","","","","IC,OPAMP,QUAD,TS974I,SO14","ST","TS974I","R59","","","","","","TS974I","SO14","OPAMP,QUAD"
"316b08c9-7664-4922-a639-3739ae43edea","","","","","IC,OPAMP,QUAD,TS902I,SO14","ST","TS902I","R60","","","","","","TS902I","SO14","OPAMP,QUAD"
"9d7a0d07-dd9b-4adb-9285-3b51fb4a17fa","","","","","IC,OPAMP,QUAD,TS464C,SO14","ST","TS464C","R61","","","","","","TS464C","SO14","OPAMP,QUAD"
"83fb3a62-fa44-4940-96ab-da5a899688ea","","","","","IC,OPAMP,SINGLE,TS461CLT,SOT25","ST","TS461CLT","R62","","","","","","TS461CLT","SOT25","OPAMP,SINGLE"
"501af8ca-0fed-4d71-aeca-90c4e66ffb6b","","","","","IC,OPAMP,DUAL,TS952I,SO8","ST","TS952I","R63","","","","","","TS952I","SO8","OPAMP,DUAL"
"8286b71e-3045-441d-b019-119c72c23a18","","","","","IC,OPAMP,QUAD,TS925I,SO14","ST","TS925I","R64","","","","","","TS925I","SO14","OPAMP,QUAD"
"050782f6-84b3-400c-a701-db66e9260e4e","","","","","IC,MEMORY,SPI,CAT25C01P,DIP8","CATALYST","CAT25C01P","R66","","","","","","CAT25C01P","DIP8","MEMORY,eeprom,SPI"
"a4684702-88b1-4edd-a0de-924d8a0d85ca","","","","","IC,AD-DA,DAC,8-BIT,MAX5513EUA+,SSO8","MAXIM","MAX5513EUA+","R67","","","","","","MAX5513EUA+","SSO8","AD-DA,DAC,8-BIT"
"67072f1a-d9e1-44f4-b9d7-8d20adb85dad","","","","","IC,AD-DA,ADC,16-BIT,MCP3428E/SL,SO14","MICROCHIP","MCP3428E/SL","R68","","","","","","MCP3428E/SL","SO14","AD-DA,ADC,16-BIT"
"3d31733d-f999-4dd5-986c-d1f307768a47","","","","","IC,MICROCONTROLLER,ATMEGA328P-AU,TQFP32","ATMEL","ATMEGA328P-AU","R70","","","","","","ATMEGA328P-AU","TQFP32","microcontroller,8-bit"
"a114cd32-4960-4884-8630-951f23fe37ee","","","","","IC,OPAMP,INSTRUMENTATION,AD623ARZ,SO8","ANALOG DEVICES","AD623ARZ","R71","","","","","","AD623ARZ","SO8","OPAMP,INSTRUMENTATION"
"0c23d8c1-c553-49d2-afea-ff6682d609f9","","","","","IC,OPAMP,DUAL,PRECISION,AD822A,SO8","ANALOG DEVICES","AD822A","R72","","","","","","AD822A","SO8","OPAMP,DUAL,PRECISION"
"d2ae5771-34de-4c98-96d7-a632e266e353","","","","","IC,OPAMP,DUAL,LT1490ACS8,SO8","LINEAR TECHNOLOGIES","LT1490ACS8","R73","","","","","","LT1490ACS8","SO8","OPAMP,DUAL"
"5941746a-78d2-4536-b5fe-1046ad7dee88","","","","","IC,AD-DA,DAC,10-BIT,MCP4812E/SN,SO8","MICROCHIP","MCP4812E/SN","R74","","","","","","MCP4812E/SN","SO8","AD-DA,DAC,10-BIT"
"8434f333-218e-46a5-b50b-0bc894e46c01","","","","","IC,MEMORY,SPI,IS25C08-2GLI,SO8","ISSI","IS25C08-2GLI","R75","","","","","","IS25C08-2GLI","SO8","MEMORY,SPI"
"36e56c8a-875f-48c8-bfce-fac0a1d6c3b6","","","","","IC,REGULATOR,INVERTING,LT1931,SOT25","LINEAR TECHNOLOGIES","LT1931","R76","","","","","","LT1931","SOT25","REGULATOR,INVERTING"
"7bb571df-e0e3-44ac-994f-23a22b21b368","","","","","IC,MCP3208-CI/SI,SO16","MICROCHIP","MCP3208-CI/SI","R77","","","","","","MCP3208-CI/SI","SO16",""
"d2d79def-25c7-498a-88d3-d6cc0ca9deec","","","","","IC,MCP4902-E/SL,SO14","MICROCHIP","MCP4902-E/SL","R78","","","","","","MCP4902-E/SL","SO14",""
"ba1d0cf2-aa9b-402a-b738-70b7c1ee4549","","","","","IC,LM2594M-3.3,SO8","TI","LM2594M-3.3","R79","","","","","","LM2594M-3.3","SO8",""
"84788976-4ed4-47ef-941f-a7442e3416c9","","","","","IC,MAX1036EKA+T,SOT23-8","MAXIM","MAX1036EKA+T","R80","","","","","","MAX1036EKA+T","SOT23-8",""
"696f8404-51d6-45ba-b4e6-12d2bc889382","","","","","IC,REGULATOR,LM2674M-ADJ,SO8","TI","LM2674M-ADJ","R81","","","","","","LM2674M-ADJ","SO8","REGULATOR"
"109e15e6-6147-4671-8405-fefc3283072f","","","","","IC,LT1377,SO8","LINEAR TECHNOLOGIES","LT1377","R82","","","","","","LT1377","SO8",""
"fb3bbe9b-c8eb-4402-9f8c-35ab9ab9796d","","","","","IC,MAX5721EUA+,USOP8","MAXIM","MAX5721EUA+","R83","","","","","","MAX5721EUA+","USOP8",""
