"ID","Description","Library Ref","Library Path","Footprint Ref","Footprint Path","Manufacturer","Manufacturer PartNo","Package","AEC-Q","If","Color","LEDtype","Supplier","Supplier PartNo","GenericName","Location"
1,"LED, RED/GREEN, SOT23",,".\SCHLIB\DIODES.SCHLIB",,,"LITEON","LTL907HK-TA","SOT23",,,"RED/GREEN","SOT23",,,,"R4, R5, R6, R6, R7, R8"
2,"LED, WHITE, 2835","DIODE-LED-WHITE-KA",".\SCHLIB\DIODES.SCHLIB",,,"CREE","JB2835 3-V","2835",,,"WHITE","2835",,,,"R137"
3,"LED, GREEN, PLCC2","DIODE-LED-GREEN-KA",".\SCHLIB\DIODES.SCHLIB",,,,,"PLCC2",,,"GREEN","PLCC2",,,,"R289"
4,"LED, YELLOW, PLCC2","DIODE-LED-YELLOW-KA",".\SCHLIB\DIODES.SCHLIB",,,,,"PLCC2",,,"YELLOW","PLCC2",,,,"R290, R291, R292"
5,"LED, RED, PLCC2","DIODE-LED-RED-KA",".\SCHLIB\DIODES.SCHLIB",,,,,"PLCC2",,,"RED","PLCC2",,,,"R293, R294, R295, R296, R299, R300"
6,"LED, RED HI-EFF, PLCC2","DIODE-LED-RED-KA",".\SCHLIB\DIODES.SCHLIB",,,,,"PLCC2",,,"RED HI-EFF","PLCC2",,,,"R297, R298, R304"
7,"LED, BLUE, 3MM, CLEAR","DIODE-LED-BLUE-KA",".\SCHLIB\DIODES.SCHLIB",,,"MISC",,"3MM",,,"BLUE CLEAR","TH3MM",,,,"MARS1"
8,"LED, GREEN, 3MM, CLEAR","DIODE-LED-GREEN-KA",".\SCHLIB\DIODES.SCHLIB",,,"MISC",,"3MM",,,"GREEN CLEAR","TH3MM",,,,"MARS2"
9,"LED, RED, 3MM, CLEAR","DIODE-LED-RED-KA",".\SCHLIB\DIODES.SCHLIB",,,"MISC",,"3MM",,,"RED CLEAR","TH3MM",,,,"MARS3"
10,"LED, WHITE, 3MM, CLEAR","DIODE-LED-WHITE-KA",".\SCHLIB\DIODES.SCHLIB",,,"MISC",,"3MM",,,"WHITE CLEAR","TH3MM",,,,"MARS4"
11,"LED, WHITE, MISC",,,,,"STOCK",,,,,,,,,,"MARS5"
12,"LED, RED, 5MM, CLEAR","DIODE-LED-RED-KA",".\SCHLIB\DIODES.SCHLIB",,,"MISC",,"5MM",,,"RED CLEAR","TH5MM",,,,"MARS6"
13,"LED, GREEN, 5MM, CLEAR","DIODE-LED-GREEN-KA",".\SCHLIB\DIODES.SCHLIB",,,"MISC",,"5MM",,,"GREEN CLEAR","TH5MM",,,,"MARS7"
14,"LED, GREEN, 5MM, CLEAR","DIODE-LED-GREEN-KA",".\SCHLIB\DIODES.SCHLIB",,,"MISC",,"5MM",,,"GREEN CLEAR","TH5MM",,,,"MARS8"
15,"LED, ORANGE, 5MM, CLEAR","DIODE-LED-ORANGE-KA",".\SCHLIB\DIODES.SCHLIB",,,"MISC",,"5MM",,,"ORANGE CLEAR","TH5MM",,,,"MARS9"
16,"LED, ORANGE, 5MM, CLEAR","DIODE-LED-ORANGE-KA",".\SCHLIB\DIODES.SCHLIB",,,"MISC",,"5MM",,,"ORANGE CLEAR","TH5MM",,,,"MARS10"
17,"LED, WHITE, 5MM, CLEAR","DIODE-LED-WHITE-KA",".\SCHLIB\DIODES.SCHLIB",,,"MISC",,"5MM",,,"WHITE CLEAR","TH5MM",,,,"MARS11"
18,"LED, BLUE, 5MM, CLEAR","DIODE-LED-BLUE-KA",".\SCHLIB\DIODES.SCHLIB",,,"MISC",,"5MM",,,"BLUE CLEAR","TH5MM",,,,"MARS12"
19,"LED, UV, 5MM, CLEAR","DIODE-LED-UV-KA",".\SCHLIB\DIODES.SCHLIB",,,"MISC",,"5MM",,,"UV CLEAR","TH5MM",,,,"MARS13"
20,"LED, RED/GREEN, 5MM",,".\SCHLIB\DIODES.SCHLIB",,,"MISC",,"5MM",,,"RED/GREEN","TH5MM",,,,"MARS14"
21,"LED, RGB, 5MM, CLEAR",,".\SCHLIB\DIODES.SCHLIB",,,"MISC",,"5MM",,,"RGB CLEAR","TH5MM",,,,"MARS15"
22,"LED, RED, 3MM","DIODE-LED-RED-KA",".\SCHLIB\DIODES.SCHLIB",,,"MISC",,"3MM",,,"RED","TH3MM",,,,"MARS16A"
23,"LED, RED, 5MM","DIODE-LED-RED-KA",".\SCHLIB\DIODES.SCHLIB",,,"MISC",,"5MM",,,"RED","TH5MM",,,,"MARS16B"
24,"LED, YELLOW, 3MM","DIODE-LED-YELLOW-KA",".\SCHLIB\DIODES.SCHLIB",,,"MISC",,"3MM",,,"YELLOW","TH3MM",,,,"MARS17A"
25,"LED, YELLOW, 5MM","DIODE-LED-YELLOW-KA",".\SCHLIB\DIODES.SCHLIB",,,"MISC",,"5MM",,,"YELLOW","TH5MM",,,,"MARS17B"
26,"LED, GREEN, 3MM","DIODE-LED-GREEN-KA",".\SCHLIB\DIODES.SCHLIB",,,"MISC",,"3MM",,,"GREEN","TH3MM",,,,"MARS18A"
27,"LED, GREEN, 5MM","DIODE-LED-GREEN-KA",".\SCHLIB\DIODES.SCHLIB",,,"MISC",,"5MM",,,"GREEN","TH5MM",,,,"MARS18B"
28,"LED, WHITE, PIRANA","DIODE-LED-PIRANA-WHITE",".\SCHLIB\DIODES.SCHLIB",,,"MISC",,"PIRANA",,,"WHITE","PIRANA",,,,"MARS19"
29,,,,,,"CHICAGO MINI","7002X5","PLCC2",,,"GREEN",,,,,"R430, R431, R432"
30,,,,,,,"FC-DA1608BHRK-620D","0603",,,"RED","0603","LCSC",,,"A0147"
31,,,,,,,"QSD123-ND","5MM",,,"IR","TH5MM","DIGIKEY","QSD123-ND",,"A0154"
