"Index","Description","Library Ref","Library Path","Footprint Ref","Footprint Path","Manufacturer","Manufacturer PartNo","Package","AEC-Q","If","Color","LEDtype","Supplier","Supplier PartNo","GenericName","Location"
"7915775c-bb19-429b-b5b0-ca3b72f56de2","LED, RED/GREEN, SOT23","",".\SCHLIB\DIODES.SCHLIB","","","LITEON","LTL907HK-TA","SOT23","","","RED/GREEN","SOT23","","","","R4, R5, R6, R6, R7, R8"
"cfe7345f-1c09-474b-9a9d-305e45c1b771","LED, WHITE, 2835","DIODE-LED-WHITE-KA",".\SCHLIB\DIODES.SCHLIB","","","CREE","JB2835 3-V","2835","","","WHITE","2835","","","","R137"
"53e20f47-8efa-4a4f-bfed-f79ad615ab63","LED, GREEN, PLCC2","DIODE-LED-GREEN-KA",".\SCHLIB\DIODES.SCHLIB","","","","","PLCC2","","","GREEN","PLCC2","","","","R289"
"83a9d24c-70bf-49be-9291-ceb7c82e30a9","LED, YELLOW, PLCC2","DIODE-LED-YELLOW-KA",".\SCHLIB\DIODES.SCHLIB","","","","","PLCC2","","","YELLOW","PLCC2","","","","R290, R291, R292"
"5c0e2b8b-221a-4509-8970-e4bfd024a64f","LED, RED, PLCC2","DIODE-LED-RED-KA",".\SCHLIB\DIODES.SCHLIB","","","","","PLCC2","","","RED","PLCC2","","","","R293, R294, R295, R296, R299, R300"
"1022c6f4-0207-4629-b2bf-de0f5505f218","LED, RED HI-EFF, PLCC2","DIODE-LED-RED-KA",".\SCHLIB\DIODES.SCHLIB","","","","","PLCC2","","","RED HI-EFF","PLCC2","","","","R297, R298, R304"
"37c8650e-cc49-4978-8085-810b349a49df","LED, BLUE, 3MM, CLEAR","DIODE-LED-BLUE-KA",".\SCHLIB\DIODES.SCHLIB","","","MISC","","3MM","","","BLUE CLEAR","TH3MM","","","","MARS1"
"f51596ce-3296-4bf5-a6fa-ab9268da2d37","LED, GREEN, 3MM, CLEAR","DIODE-LED-GREEN-KA",".\SCHLIB\DIODES.SCHLIB","","","MISC","","3MM","","","GREEN CLEAR","TH3MM","","","","MARS2"
"2a67000b-d845-4f7b-95d9-9b09cdac47d3","LED, RED, 3MM, CLEAR","DIODE-LED-RED-KA",".\SCHLIB\DIODES.SCHLIB","","","MISC","","3MM","","","RED CLEAR","TH3MM","","","","MARS3"
"8e72bf7a-bc64-41be-8ada-513c7b84fe4d","LED, WHITE, 3MM, CLEAR","DIODE-LED-WHITE-KA",".\SCHLIB\DIODES.SCHLIB","","","MISC","","3MM","","","WHITE CLEAR","TH3MM","","","","MARS4"
"7a367d05-f128-425e-bb1c-611ce50f3159","LED, WHITE, MISC","","","","","STOCK","","","","","","","","","","MARS5"
"ef1dbf7a-45de-4c5a-bf39-b55af564e4dd","LED, RED, 5MM, CLEAR","DIODE-LED-RED-KA",".\SCHLIB\DIODES.SCHLIB","","","MISC","","5MM","","","RED CLEAR","TH5MM","","","","MARS6"
"d5323b3b-1e44-4261-a17b-7b35ec71e53f","LED, GREEN, 5MM, CLEAR","DIODE-LED-GREEN-KA",".\SCHLIB\DIODES.SCHLIB","","","MISC","","5MM","","","GREEN CLEAR","TH5MM","","","","MARS7"
"c749c170-b26b-4605-a629-109890f1ecfb","LED, GREEN, 5MM, CLEAR","DIODE-LED-GREEN-KA",".\SCHLIB\DIODES.SCHLIB","","","MISC","","5MM","","","GREEN CLEAR","TH5MM","","","","MARS8"
"3991ee17-1841-449a-b8fc-e634af331d46","LED, ORANGE, 5MM, CLEAR","DIODE-LED-ORANGE-KA",".\SCHLIB\DIODES.SCHLIB","","","MISC","","5MM","","","ORANGE CLEAR","TH5MM","","","","MARS9"
"fd7975cd-cc2a-4b77-b7ca-9e0fbedb9350","LED, ORANGE, 5MM, CLEAR","DIODE-LED-ORANGE-KA",".\SCHLIB\DIODES.SCHLIB","","","MISC","","5MM","","","ORANGE CLEAR","TH5MM","","","","MARS10"
