"Index","Library Ref","Library Path","Footprint Ref","Footprint Path","Description","Manufacturer 1","Manufacturer Part Number 1","Location","LCSC","Digikey","Mouser","TME","Manufacturer","Manufacturer PartNo","Package","AEC-Q","If","Color","LEDtype","Supplier","Supplier PartNo","GenericName"
"7915775c-bb19-429b-b5b0-ca3b72f56de2","",".\SCHLIB\DIODES.SCHLIB","","","LED, RED/GREEN, SOT23","LITEON","LTL907HK-TA","R4, R5, R6, R6, R7, R8","","","","","LITEON","LTL907HK-TA","SOT23","","","RED/GREEN","SOT23","","",""
"cfe7345f-1c09-474b-9a9d-305e45c1b771","DIODE-LED-WHITE-KA",".\SCHLIB\DIODES.SCHLIB","","","LED, WHITE, 2835","CREE","JB2835 3-V","R137","","","","","CREE","JB2835 3-V","2835","","","WHITE","2835","","",""
"53e20f47-8efa-4a4f-bfed-f79ad615ab63","DIODE-LED-GREEN-KA",".\SCHLIB\DIODES.SCHLIB","","","LED, GREEN, PLCC2","","","R289","","","","","","","PLCC2","","","GREEN","PLCC2","","",""
"83a9d24c-70bf-49be-9291-ceb7c82e30a9","DIODE-LED-YELLOW-KA",".\SCHLIB\DIODES.SCHLIB","","","LED, YELLOW, PLCC2","","","R290, R291, R292","","","","","","","PLCC2","","","YELLOW","PLCC2","","",""
"5c0e2b8b-221a-4509-8970-e4bfd024a64f","DIODE-LED-RED-KA",".\SCHLIB\DIODES.SCHLIB","","","LED, RED, PLCC2","","","R293, R294, R295, R296, R299, R300","","","","","","","PLCC2","","","RED","PLCC2","","",""
"1022c6f4-0207-4629-b2bf-de0f5505f218","DIODE-LED-RED-KA",".\SCHLIB\DIODES.SCHLIB","","","LED, RED HI-EFF, PLCC2","","","R297, R298, R304","","","","","","","PLCC2","","","RED HI-EFF","PLCC2","","",""
"37c8650e-cc49-4978-8085-810b349a49df","DIODE-LED-BLUE-KA",".\SCHLIB\DIODES.SCHLIB","","","LED, BLUE, 3MM, CLEAR","MISC","","MARS1","","","","","MISC","","3MM","","","BLUE CLEAR","TH3MM","","",""
"f51596ce-3296-4bf5-a6fa-ab9268da2d37","DIODE-LED-GREEN-KA",".\SCHLIB\DIODES.SCHLIB","","","LED, GREEN, 3MM, CLEAR","MISC","","MARS2","","","","","MISC","","3MM","","","GREEN CLEAR","TH3MM","","",""
"2a67000b-d845-4f7b-95d9-9b09cdac47d3","DIODE-LED-RED-KA",".\SCHLIB\DIODES.SCHLIB","","","LED, RED, 3MM, CLEAR","MISC","","MARS3","","","","","MISC","","3MM","","","RED CLEAR","TH3MM","","",""
"8e72bf7a-bc64-41be-8ada-513c7b84fe4d","DIODE-LED-WHITE-KA",".\SCHLIB\DIODES.SCHLIB","","","LED, WHITE, 3MM, CLEAR","MISC","","MARS4","","","","","MISC","","3MM","","","WHITE CLEAR","TH3MM","","",""
"7a367d05-f128-425e-bb1c-611ce50f3159","","","","","LED, WHITE, MISC","STOCK","","MARS5","","","","","STOCK","","","","","","","","",""
"ef1dbf7a-45de-4c5a-bf39-b55af564e4dd","DIODE-LED-RED-KA",".\SCHLIB\DIODES.SCHLIB","","","LED, RED, 5MM, CLEAR","MISC","","MARS6","","","","","MISC","","5MM","","","RED CLEAR","TH5MM","","",""
"d5323b3b-1e44-4261-a17b-7b35ec71e53f","DIODE-LED-GREEN-KA",".\SCHLIB\DIODES.SCHLIB","","","LED, GREEN, 5MM, CLEAR","MISC","","MARS7","","","","","MISC","","5MM","","","GREEN CLEAR","TH5MM","","",""
"c749c170-b26b-4605-a629-109890f1ecfb","DIODE-LED-GREEN-KA",".\SCHLIB\DIODES.SCHLIB","","","LED, GREEN, 5MM, CLEAR","MISC","","MARS8","","","","","MISC","","5MM","","","GREEN CLEAR","TH5MM","","",""
"3991ee17-1841-449a-b8fc-e634af331d46","DIODE-LED-ORANGE-KA",".\SCHLIB\DIODES.SCHLIB","","","LED, ORANGE, 5MM, CLEAR","MISC","","MARS9","","","","","MISC","","5MM","","","ORANGE CLEAR","TH5MM","","",""
"fd7975cd-cc2a-4b77-b7ca-9e0fbedb9350","DIODE-LED-ORANGE-KA",".\SCHLIB\DIODES.SCHLIB","","","LED, ORANGE, 5MM, CLEAR","MISC","","MARS10","","","","","MISC","","5MM","","","ORANGE CLEAR","TH5MM","","",""
"9132bef0-50fa-4592-a3f6-1b85153adc1f","DIODE-LED-WHITE-KA",".\SCHLIB\DIODES.SCHLIB","","","LED, WHITE, 5MM, CLEAR","MISC","","MARS11","","","","","MISC","","5MM","","","WHITE CLEAR","TH5MM","","",""
"85984391-6666-4822-b8d1-db9e7a2679d7","DIODE-LED-BLUE-KA",".\SCHLIB\DIODES.SCHLIB","","","LED, BLUE, 5MM, CLEAR","MISC","","MARS12","","","","","MISC","","5MM","","","BLUE CLEAR","TH5MM","","",""
"61858bbd-24b8-49bf-93f6-27f018bd3fbf","DIODE-LED-UV-KA",".\SCHLIB\DIODES.SCHLIB","","","LED, UV, 5MM, CLEAR","MISC","","MARS13","","","","","MISC","","5MM","","","UV CLEAR","TH5MM","","",""
"a913583a-52d2-4cd7-92fa-650c80d7fbc8","",".\SCHLIB\DIODES.SCHLIB","","","LED, RED/GREEN, 5MM","MISC","","MARS14","","","","","MISC","","5MM","","","RED/GREEN","TH5MM","","",""
"8f23e22a-74d4-448d-ab76-9af73b3d6693","",".\SCHLIB\DIODES.SCHLIB","","","LED, RGB, 5MM, CLEAR","MISC","","MARS15","","","","","MISC","","5MM","","","RGB CLEAR","TH5MM","","",""
"5066d274-b80f-436b-8707-a716dd5159d2","DIODE-LED-RED-KA",".\SCHLIB\DIODES.SCHLIB","","","LED, RED, 3MM","MISC","","MARS16A","","","","","MISC","","3MM","","","RED","TH3MM","","",""
"3d0d84da-807f-4269-8038-b794e46e9444","DIODE-LED-RED-KA",".\SCHLIB\DIODES.SCHLIB","","","LED, RED, 5MM","MISC","","MARS16B","","","","","MISC","","5MM","","","RED","TH5MM","","",""
"82d2168c-2e2c-4bff-af01-5712b2e4512a","DIODE-LED-YELLOW-KA",".\SCHLIB\DIODES.SCHLIB","","","LED, YELLOW, 3MM","MISC","","MARS17A","","","","","MISC","","3MM","","","YELLOW","TH3MM","","",""
