"Index","Library Ref","Library Path","Footprint Ref","Footprint Path","Description","Manufacturer 1","Manufacturer Part Number 1","Location","LCSC","Digikey","Mouser","TME","MECHtype","JAMECO","Package","Mounting"
"be38b408-6b65-4c79-86c5-96a5d2effe00","","","","","MECH","","","A0727","","","","","","","",""
"7c0ef232-2f8f-4e6d-8d04-d73d3f6c8a79","","","","","MECH","","","A0730","","","","","","","",""
"4ea8e02e-a48b-4dca-89b9-b344c76cc0f9","","","","","MECH,KNOB,ROTARY,CAP,SIZE 40,OKW,A3240107","OKW","A3240107","A1025","","","","","KNOB,ROTARY,CAP,SIZE 40","","",""
"53477641-f49b-46c5-9a7e-9e0acffa4b31","","","","","MECH,KNOB,16MM DIA,BLACK,OKW,A1016649","OKW","A1016649","A1026,A1027","","","","","KNOB,16MM DIA,BLACK","","","6MM D-SHAFT"
"06415d02-f2af-4974-84c0-80024cf8a698","","","","","MECH,CLIFF,K21-BLK","CLIFF","K21-BLK","A1028","","","","","","","",""
"8b6d7666-a2f6-476c-b9fb-329432336ad7","","","","","MECH,CLIFF,K85-YEL","CLIFF","K85-YEL","A1029","","","","","","","",""
"ce48bb27-3ff8-4e4b-aeee-5e02b74bbc76","","","","","MECH,CLIFF,K85-RED-L","CLIFF","K85-RED-L","A1031","","","","","","","",""
"41bf240d-7432-4e04-a734-e0a17891d2f6","","","","","MECH","","","","","","","","","","",""
"319988ab-a598-4054-a33f-c8b0c3100fcd","","","","","MECH","","","","","","","","","","",""
"cb22073a-c1a9-4dad-a81c-1726a5c335f1","","","","","MECH","","","","","","","","","","",""
