"ID","Description","Library Ref","Library Path","Footprint Ref","Footprint Path","Manufacturer","Manufacturer PartNo","Package","AEC-Q","Ids","Vds","MOSType","Supplier","Supplier PartNo","GenericName","Location"
1,"MOS, P-CH, 12V, 7.1A, SILICONIX, SI2333CDS-T1-GE3, SOT23",,,,,"SILICONIX","SI2333CDS-T1-GE3","SOT23",,"7.1A","12V","P-CH",,,,"R34"
2,"MOS, P-CH, 50V, 0.13A, NXP, BSS84, SOT23",,,,,"NXP","BSS84","SOT23",,"0.13A","50V","P-CH",,,,"R136"
3,"MOS, P-CH, 12V, 4.3A, INFINEON, IRLML6401, SOT23",,,,,"INFINEON","IRLML6401","SOT23",,"4.3A","12V","P-CH",,,,"R216"
4,"MOS, N-CH, 60V, 0.25A, ONSEMI, 2N7002, SOT23",,,,,"ONSEMI","2N7002","SOT23",,"0.25A","60V","N-CH",,,,"R212, R357, R358, R359, 360"
5,"MOS, P-CH, 20V, 3.7A, INFINEON, IRLML6402, SOT23",,,,,"INFINEON","IRLML6402","SOT23",,"3.7A","20V","P-CH",,,,"R211"
6,"MOS, 2 N-CH, 30V, 4.9A, INFINEON, IRF7303, SO8",,,,,"INFINEON","IRF7303","SO8",,"4.9A","30V","2 N-CH",,,,"R248, R234"
7,"MOS, N-CH, 55V, 17A, INFINEON, IRFZ24N, TO220",,,,,"INFINEON","IRFZ24N","TO220",,"17A","55V","N-CH","JAMECO","669871",,
8,"MOS, N-CH, 50V, 30A, FAIRCHILD, BUZ11, TO220",,,,,"FAIRCHILD","BUZ11","TO220",,"30A","50V","N-CH",,,,"R382"
9,"MOS, N-CH, 30V, 27A, ST, STL50NH3, POWERFLAT",,,,,"ST","STL50NH3","POWERFLAT",,"27A","30V","N-CH",,,,"R612"
10,"MOS, P-CH, 60V, 2.5A, ONSEMI, NDT2955, SOT223",,,,,"ONSEMI","NDT2955","SOT223",,"2.5A","60V","P-CH",,,,"R619"
11,"MOS, P-CH, 30V, 10A, ST, STS10PF30L, SO8",,,,,"ST","STS10PF30L","SO8","OBSOLETE","10A","30V","P-CH",,,,"R679"
12,"MOS, N-CH, 30V, 80A, ST, STD85N3L, DPAK",,,,,"ST","STD85N3L","DPAK","OBSOLETE","80A","30V","N-CH",,,,"R708"
13,"MOS, N-CH, 30V, 40A, ST, STD50N03, DPAK",,,,,"ST","STD50N03","DPAK",,"40A","30V","N-CH",,,,"R710"
14,"MOS, N-CH, 30V, 55A, ST, STL55NH3LL, PPAK5060",,,,,"ST","STL55NH3LL","PPAK5060","OBSOLETE","55A","30V","N-CH",,,,"R604"
15,"MOS, N-CH, 30V, 12A, ST, STS12NF30L, SO8",,,,,"ST","STS12NF30L","SO8","OBSOLETE","12A","30V","N-CH",,,,"R589"
16,,,,,,"ST","STF40NF06","ISO220",,,,,,,,"A0435"
17,,,,,,,"BS170","TO92",,,,,,,,"A0678"
18,,,,,,,"BSS138","SOT23",,,,,,,,"R749"
19,,,,,,,"SI2333DS-T1-E3","SOT23",,,,,,,,"R762"
20,,,,,,,"SBSS84LT1G",,,,,,,,,"R775"
21,,,,,,,"2N7002-TP",,,,,,,"2N7002-TPMSCT-ND",,"R800"
22,,,,,,,"2N7002","SOT23",,,,,"LCSC",,,"A0411"
