"ID","Description","Library Ref","Library Path","Footprint Ref","Footprint Path","Manufacturer","Manufacturer PartNo","Package","AEC-Q","Mounting","Switchtype","Voltage","Supplier","Supplier PartNo","Location"
1,,,,,,"NAIS","DS2Y-SL2-DC12V",,,,,,,,"A0003"
2,,,,,,"OMRON","G6K-2F 12V",,,,,,,,"A0001, A0046, A0016"
3,,,,,,"TAKAMISAWA","MZ-12HG-C",,,,,,,,"A0030"
4,,,,,,"NAIS","TQ2-5V",,,,,,,,"A0038"
5,,,,,,"SHARP","S201S06V",,,,,,,,"A0051"
6,,,,,,"SHARP","S202T02",,,,,,,,"A0066"
7,,,,,,"MAGNECRAFT","W172DIP-35",,,,,,,,"A0059, A0050"
8,,,,,,"HONGFA","HF41F 5-ZST",,,,,,,,"A007, A0071, A0072"
9,,,,,,"NAIS","TQ2SA-5V",,,,,,,,"A0168"
10,,,,,,"AXICOM","MT2C93432",,,,,,"TE","6-1462000-2","A0603"
11,,,,,,"MAGNECRAFT","W76URCPCX-16",,,,,,,,"A0632"
12,,,,,,"ZETTLER","AZ9571-1C-12DSE",,,,,,,,"A0277"
13,,,,,,"COTO","9007-05-00",,,,,,,,"A0291"
14,,,,,,"SONG CHUAN","882-1AH-C 24VDC",,,,,,,,"A0649"
15,,,,,,"OMRON","G3MB-202P",,,,,,,,"A0528"
16,,,,,,"PANASONIC","ALQ3F12",,,,,,,"255-5407-ND","A0504"
17,,,,,,"TAKAMISAWA","A5W-8",,,,,,,,"A0426"
18,,,,,,"MAGNECRAFT","W171DIP-70",,,,,,,,"A0711"
19,,,,,,"MAGNECRAFT","W172DIP-5",,,,,,,,"A0711"
20,"RELAY, OPTOMOS, NC, SMT",,,,,"PANASONIC","AQY414","SOP4",,,,,,,"A0751"
21,,,,,,"AROMAT","DS2E-SL2-DC12V",,,,,,,,"A0754, A0777, A0793"
22,,,,,,"AROMAT","DS4E-M-DC5V",,,,,,,,"A0755, A0756, A0779"
23,,,,,,"SONG CHUAN","882-1AH-C 24V",,,,,,,,"A0757, A0758, A0759, A0760"
24,,,,,,"PANASONIC","ACTB32",,,,,,,,"A0776"
25,,,,,,"AROMAT","DS2YE-S-DC24V",,,,,,,,"A0778, A0788"
26,,,,,,"NEC","UB2-3NU",,,,,,,,"A0787"
27,,,,,,"OMRON","G2R-24 DC 12V",,,,,,,,"A0800"
28,,,,,,"NEC","EA2-5TNJ",,,,,,,,"A0798"
29,,,,,,"OMRON","G6A-234P-ST-US 5V",,,,,,,,"A0808, A0810"
30,,,,,,"AROMAT","DS2E-S-DC12V",,,,,,,,"A0809"
