"Index","Library Ref","Library Path","Footprint Ref","Footprint Path","Description","Manufacturer 1","Manufacturer Part Number 1","Location","LCSC","Digikey","Mouser","TME","RELAYtype","Contact-Voltage","Contact-Current","Coil-Voltage","Latching","Mounting","Package","Contact-Style","Active"
"14487679-185c-45e2-b0c8-36123c435e8f","","","","","RELAY,MECH,DPDT,220V DC,250V AC,2A,LATCHING 2 COIL,12V COIL,TH","NAIS","DS2Y-SL2-DC12V","A0003","","OBSOLETE","","","MECH","220V DC,250V AC","2A","12V COIL","LATCHING 2 COIL","TH","","DPDT","OBSOLETE"
"f3cf453a-00cd-4607-a2f0-879833dcc2aa","","","","","RELAY,MECH,DPDT,60V DC,125 VAC,1A,12V COIL,SMD","OMRON","G6K-2F 12V","A0001, A0046, A0016","","Z113-ND","","","MECH","60V DC,125 VAC","1A","12V COIL","","SMD","","DPDT",""
"c36caae4-72eb-4397-afa5-8d3150503bdc","","","","","RELAY","TAKAMISAWA","MZ-12HG-C","A0030","","","","","","","","","","","","",""
"a0b22350-43ea-4d48-838c-3be15a1ae6bd","","","","","RELAY,MECH,DPDT,110V DC,125V AC,1A,5V COIL,TH","NAIS","TQ2-5V","A0038","","255-1001-5-ND","","","MECH","110V DC,125V AC","1A","5V COIL","","TH","","DPDT",""
"b78aa191-4a17-4590-8372-b7cc5f531ade","","","","","RELAY,SSR,SPST,240V AC,3A,1.2V LED,TH","SHARP","S201S06V","A0051","","425-1244-5-ND","","","SSR","240V AC","3A","1.2V LED","","TH","","SPST","OBSOLETE"
"94483ebe-92b2-4f9e-be4d-703616c15350","","","","","RELAY,SSR,SPST,240VAC,2A,1.2V LED,TH","SHARP","S202T02","A0066","","425-1253-5-ND","","","SSR","240VAC","2A","1.2V LED","","TH","","SPST","OBSOLETE"
"d14ac42b-bcc8-44eb-a430-c68e0b9932a4","","","","","RELAY","MAGNECRAFT","W172DIP-35","A0059, A0050","","","","","","","","","","","","",""
"4895c6e7-50ed-4915-957c-fea3ed5be1fd","","","","","RELAY","HONGFA","HF41F 5-ZST","A007, A0071, A0072","","","","","","","","","","","","",""
"b3df9bc6-0764-4c8d-9841-b656f10a048c","","","","","RELAY","NAIS","TQ2SA-5V","A0168","","","","","","","","","","","","",""
"c5f27f05-fcac-4667-bc9d-0ddc6b055903","","","","","RELAY","AXICOM","MT2C93432","A0603A","","","","","","","","","","","","",""
"3b34d14d-0dce-4ce0-b51e-613f6818611a","","","","","RELAY","MAGNECRAFT","W76URCPCX-16","A0632","","","","","","","","","","","","",""
"42216170-41a2-485c-8c99-2bac72797c4f","","","","","RELAY","ZETTLER","AZ9571-1C-12DSE","A0277","","","","","","","","","","","","",""
"c073882e-c7c8-485c-84b7-77848aefee84","","","","","RELAY","COTO","9007-05-00","A0291","","","","","","","","","","","","",""
"ac23114c-1b9e-41b7-9d56-cdf6875fd3b4","","","","","RELAY","SONG CHUAN","882-1AH-C 24VDC","A0649","","","","","","","","","","","","",""
"c13067d6-7ecf-4b00-9f12-83a27df24ff1","","","","","RELAY","OMRON","G3MB-202P","A0528","","","","","","","","","","","","",""
"11dafb05-0918-488c-895a-6a0793b4aa6f","","","","","RELAY","PANASONIC","ALQ3F12","A0504","","255-5407-ND","","","","","","","","","","",""
"4d636f89-a58d-4569-95bd-1e050e370e46","","","","","RELAY","TAKAMISAWA","A5W-8","A0426","","","","","","","","","","","","",""
"07fce907-84a9-401e-b01c-cd5c902087fc","","","","","RELAY","MAGNECRAFT","W171DIP-70","A0711A","","","","","","","","","","","","",""
"79e9b734-8fc5-4f59-b279-e0d1715af3fb","","","","","RELAY","MAGNECRAFT","W172DIP-5","A0711B","","","","","","","","","","","","",""
"399a2ddf-f7f0-43a5-a499-7487239aec08","","","","","RELAY","PANASONIC","AQY414","A0751","","","","","","","","","","","SOP4","",""
"e065741e-f50d-4097-b80e-4be5d12ec489","","","","","RELAY","AROMAT","DS2E-SL2-DC12V","A0754, A0777, A0793","","","","","","","","","","","","",""
"eb121629-a7b0-4c0b-a4c6-30d83a1188bd","","","","","RELAY","AROMAT","DS4E-M-DC5V","A0755, A0756, A0779","","","","","","","","","","","","",""
"0516767a-4d52-4b20-a2ae-a2951e395670","","","","","RELAY","SONG CHUAN","882-1AH-C 24V","A0757, A0758, A0759, A0760","","","","","","","","","","","","",""
"763e2b90-4ac8-4e5c-868a-c4688b0fa034","","","","","RELAY","PANASONIC","ACTB32","A0776","","","","","","","","","","","","",""
