"ID","Description","Library Ref","Library Path","Footprint Ref","Footprint Path","Manufacturer","Manufacturer PartNo","Package","AEC-Q","Resistance","Tempco","Voltage","RESType","Supplier","Supplier PartNo","Tolerance","Wattage","Location"
1,,,,,,"KOA SPEER","RK73B1JLTD333J","0603",,"33K",,,,,,"5%","1/10W","R128"
2,,"RESTRIM",".\SCHLIB\PASSIVES.SCHLIB",,,"PIHER","PT10LV10-101A2020-PM-S",,,"100R",,,"TRIMMER ST-HOR",,,,,"MARS21A"
3,,"RESTRIM",".\SCHLIB\PASSIVES.SCHLIB",,,"BOURNS","PV36W101C01B00",,,"100R",,,"TRIMMER MT SQ",,,,,"MARS21B"
4,,"RESTRIM",".\SCHLIB\PASSIVES.SCHLIB",,,"BOURNS","3006P-1-101LF",,,"100R",,,"TRIMMER MT RECT",,,,,"MARS21C"
5,,"RESTRIM",".\SCHLIB\PASSIVES.SCHLIB",,,"PIHER","PT10LV10-251A2020-S",,,"250R",,,"TRIMMER ST-HOR",,,,,"MARS22A"
6,,"RESTRIM",".\SCHLIB\PASSIVES.SCHLIB",,,"BOURNS","3299W-1-251LF",,,"250R",,,"TRIMMER MT SQ",,,,,"MARS22B"
7,,"RESTRIM",".\SCHLIB\PASSIVES.SCHLIB",,,"BOURNS","3006P-1-251LF",,,"250R",,,"TRIMMER MT RECT",,,,,"MARS22C"
8,,"RESTRIM",".\SCHLIB\PASSIVES.SCHLIB",,,"PIHER","PT10LV10-501A2020-S",,,"500R",,,"TRIMMER ST-HOR",,,,,"MARS23A"
9,,"RESTRIM",".\SCHLIB\PASSIVES.SCHLIB",,,"BOURNS","PV36W501C01B00",,,"500R",,,"TRIMMER MT SQ",,,,,"MARS23B"
10,,"RESTRIM",".\SCHLIB\PASSIVES.SCHLIB",,,"BOURNS","3006P-1-501LF",,,"500R",,,"TRIMMER MT RECT",,,,,"MARS23C"
11,,"RESTRIM",".\SCHLIB\PASSIVES.SCHLIB",,,"PIHER","PT10LV10-102A2020-S",,,"1K",,,"TRIMMER ST-HOR",,,,,"MARS24A"
12,,"RESTRIM",".\SCHLIB\PASSIVES.SCHLIB",,,"BOURNS","PV36W102C01B00",,,"1K",,,"TRIMMER MT SQ",,,,,"MARS24B"
13,,"RESTRIM",".\SCHLIB\PASSIVES.SCHLIB",,,"BOURNS","3006P-1-102LF",,,"1K",,,"TRIMMER MT RECT",,,,,"MARS24C"
14,,"RESTRIM",".\SCHLIB\PASSIVES.SCHLIB",,,"PIHER","PT10LV10-252A2020-PM-S",,,"2K5",,,"TRIMMER ST-HOR",,,,,"MARS25A"
15,,"RESTRIM",".\SCHLIB\PASSIVES.SCHLIB",,,"BOURNS","3296W-1-252LF",,,"2K5",,,"TRIMMER MT SQ",,,,,"MARS25B"
16,,"RESTRIM",".\SCHLIB\PASSIVES.SCHLIB",,,"BOURNS","3006P-1-252LF",,,"2K5",,,"TRIMMER MT RECT",,,,,"MARS25C"
17,,"RESTRIM",".\SCHLIB\PASSIVES.SCHLIB",,,"PIHER","PT10LV10-502A2020-S",,,"5K",,,"TRIMMER ST-HOR",,,,,"MARS26A"
18,,"RESTRIM",".\SCHLIB\PASSIVES.SCHLIB",,,"BOURNS","PV36W502C01B00",,,"5K",,,"TRIMMER MT SQ",,,,,"MARS26B"
19,,"RESTRIM",".\SCHLIB\PASSIVES.SCHLIB",,,"BOURNS","3006P-1-502LF",,,"5K",,,"TRIMMER MT RECT",,,,,"MARS26C"
20,,"RESTRIM",".\SCHLIB\PASSIVES.SCHLIB",,,"PIHER","PT10LV10-103A2020-S",,,"10K",,,"TRIMMER ST-HOR",,,,,"MARS27A"
21,,"RESTRIM",".\SCHLIB\PASSIVES.SCHLIB",,,"BOURNS","PV36W103C01B00",,,"10K",,,"TRIMMER MT SQ",,,,,"MARS27B"
22,,"RESTRIM",".\SCHLIB\PASSIVES.SCHLIB",,,"BOURNS","3006P-1-103LF",,,"10K",,,"TRIMMER MT RECT",,,,,"MARS27C"
23,,"RESTRIM",".\SCHLIB\PASSIVES.SCHLIB",,,"PIHER","PT10LV10-253A2020-PM-S",,,"25K",,,"TRIMMER ST-HOR",,,,,"MARS28A"
24,,"RESTRIM",".\SCHLIB\PASSIVES.SCHLIB",,,"BOURNS","3299W-1-253LF",,,"25K",,,"TRIMMER MT SQ",,,,,"MARS28B"
25,,"RESTRIM",".\SCHLIB\PASSIVES.SCHLIB",,,"BOURNS","3006P-1-253LF",,,"25K",,,"TRIMMER MT RECT",,,,,"MARS28C"
26,,"RESTRIM",".\SCHLIB\PASSIVES.SCHLIB",,,"PIHER","PT10LV10-503A2020-S",,,"50K",,,"TRIMMER ST-HOR",,,,,"MARS29A"
27,,"RESTRIM",".\SCHLIB\PASSIVES.SCHLIB",,,"BOURNS","PV36W503C01B00",,,"50K",,,"TRIMMER MT SQ",,,,,"MARS29B"
28,,"RESTRIM",".\SCHLIB\PASSIVES.SCHLIB",,,"BOURNS","3006P-1-503LF",,,"50K",,,"TRIMMER MT RECT",,,,,"MARS29C"
29,,"RESTRIM",".\SCHLIB\PASSIVES.SCHLIB",,,"PIHER","PT10LV10-104A2020-PM-S
PT10MV10-104A2020",,,"100K",,,"TRIMMER ST-HOR",,,,,"MARS30A"
30,,"RESTRIM",".\SCHLIB\PASSIVES.SCHLIB",,,"BOURNS","PV36W104C01B00
PT10LV10-104A2020-I-PM-S",,,"100K",,,"TRIMMER MT SQ",,,,,"MARS30B"
31,,"RESTRIM",".\SCHLIB\PASSIVES.SCHLIB",,,"BOURNS","3006P-1-104LF",,,"100K",,,"TRIMMER MT RECT",,,,,"MARS30C"
32,,"RESTRIM",".\SCHLIB\PASSIVES.SCHLIB",,,"PIHER","PT10LV10-254A2020-PM-S
PT10LV10-254A2020-S",,,"250K",,,"TRIMMER ST-HOR",,,,,"MARS31A"
33,,"RESTRIM",".\SCHLIB\PASSIVES.SCHLIB",,,"BOURNS","3296W-1-254LF",,,"250K",,,"TRIMMER MT SQ",,,,,"MARS31B"
34,,"RESTRIM",".\SCHLIB\PASSIVES.SCHLIB",,,"BOURNS","3006P-1-254LF",,,"250K",,,"TRIMMER MT RECT",,,,,"MARS31C"
35,,"RESTRIM",".\SCHLIB\PASSIVES.SCHLIB",,,"PIHER","PT10LV10-504A2020-S",,,"500K",,,"TRIMMER ST-HOR",,,,,"MARS32A"
36,,"RESTRIM",".\SCHLIB\PASSIVES.SCHLIB",,,"BOURNS","PV36W504C01B00",,,"500K",,,"TRIMMER MT SQ",,,,,"MARS32B"
37,,"RESTRIM",".\SCHLIB\PASSIVES.SCHLIB",,,"BOURNS","3006P-1-504LF",,,"500K",,,"TRIMMER MT RECT",,,,,"MARS32C"
38,,"RESTRIM",".\SCHLIB\PASSIVES.SCHLIB",,,"PIHER","PT10LV10-105A2020-S","10MM",,"1M",,,"TRIMMER ST-HOR",,,,,"MARS22A"
39,,"RESTRIM",".\SCHLIB\PASSIVES.SCHLIB",,,"BOURNS","PV36W105C01B00",,,"1M",,,"TRIMMER MT SQ",,,,,"MARS22B"
40,,"RESTRIM",".\SCHLIB\PASSIVES.SCHLIB",,,"BOURNS","3006P-1-105LF",,,"1M",,,"TRIMMER MT RECT",,,,,"MARS22C"
41,,"RES0805",".\SCHLIB\PASSIVES.SCHLIB",,,"KOA","RK73B2ATTD102J","0805",,"1K",,,,,,"5%",,"R327"
42,,"RES0603",".\SCHLIB\PASSIVES.SCHLIB",,,"CHIPCERA","CR03F7P1500L","0603",,"150R",,,,,,"1%",,"R328"
43,,"RES0603",".\SCHLIB\PASSIVES.SCHLIB",,,,,"0603",,"1K",,,,,,"5%",,"R325, R326"
44,,"RES0603",".\SCHLIB\PASSIVES.SCHLIB",,,,"CRCW0603473JRTI","0603",,"47K",,,,,,"5%",,"R329"
45,,"RES0603",".\SCHLIB\PASSIVES.SCHLIB",,,"KOA","RM73B1JT681J","0603",,"680R",,,,,,"5%",,"R330, R462"
46,,"RES0603",".\SCHLIB\PASSIVES.SCHLIB",,,"PANASONIC","ERJ3GEYJ181V","0603",,"180R",,,,,,"5%",,"R331"
47,,"RES0603",".\SCHLIB\PASSIVES.SCHLIB",,,,"NRC06J331TR","0603",,"330R",,,,,,"5%",,"R332"
48,,"RES0603",".\SCHLIB\PASSIVES.SCHLIB",,,,"CRCW060310K0","0603",,"10K",,,,,,"5%",,"R334"
49,,"RES0603",".\SCHLIB\PASSIVES.SCHLIB",,,,"RC0603JR074K7","0603",,"4K7",,,,,,"5%",,"R335"
50,,"RES0603",".\SCHLIB\PASSIVES.SCHLIB",,,,"RC0603JR-300R","0603",,"300R",,,,,,"5%",,"R336"
51,,,".\SCHLIB\PASSIVES.SCHLIB",,,"KOA","RN73E2AT1003B",,,"100K",,,,,,,,"R364"
52,,,".\SCHLIB\PASSIVES.SCHLIB",,,"KOA","RN73B1JLTD272",,,"2K7",,,,,,,,"R362"
53,,,".\SCHLIB\PASSIVES.SCHLIB",,,,"CR-03J-7-220R",,,"220R",,,,,,"5%",,"R361"
54,,"RES0805",".\SCHLIB\PASSIVES.SCHLIB",,,,"RC0805FR-0710KL","0805",,"10K",,,,,,,,"R459"
55,,"RES0603",".\SCHLIB\PASSIVES.SCHLIB",,,"KYOCERA","CR10-330J","0603",,"33R",,,,,,"5%",,"R477"
56,,"RES0603",".\SCHLIB\PASSIVES.SCHLIB",,,"KOA","RK73B1JLTD331J","0603",,"330R",,,,,,"5%",,"R464"
57,,"RES0805",".\SCHLIB\PASSIVES.SCHLIB",,,"KOA","RK73B2ALTD331J","0805",,"330R",,,,,,"5%",,"R460"
58,,"RES0603",".\SCHLIB\PASSIVES.SCHLIB",,,"PANASONIC","ERJ3EKF1502V","0603",,"15K",,,,,,"1%",,"R461"
59,,"RES0603",".\SCHLIB\PASSIVES.SCHLIB",,,"PHYCOMP","RC0603FR073K32L","0603",,"3K32",,,,,,,,"R479"
60,,"RES0603",".\SCHLIB\PASSIVES.SCHLIB",,,"KOA","RM73B1JT103J","0603",,"10K",,,,,,,,"R476"
61,,,".\SCHLIB\PASSIVES.SCHLIB",,,"KOA","RK73B2ALTD101J",,,"100R",,,,,,,,"R475"
62,,,".\SCHLIB\PASSIVES.SCHLIB",,,"WALSIN","WA06X103JT",,,"10KX4",,,,,,,,"R472, R480"
63,,,".\SCHLIB\PASSIVES.SCHLIB",,,"WALSIN","WA06X102JT",,,"1KX4",,,,,,,,"R478, R474"
64,,,".\SCHLIB\PASSIVES.SCHLIB",,,"YAGEO","RC0603FR-0720KL",,,"20K",,,,,,,,"R469"
65,,,,,,"KOA","RK73B1JLTD103J",,,"10K",,,,,,,,"R423"
66,,,,,,"PANASONIC","ERJ-6ENF1501V",,,"1K5",,,,,,"1%",,"R422"
67,,,,,,"KYOCERA","CR10-102J-T",,,,,,,,,,,"R426"
68,,,,,,"KOA","RK73B1JLTD271J",,,"270R",,,,,,,,"R427"
69,,,,,,"KOA","RK73B1JLTD101",,,"100R",,,,,,,,"R424"
70,,,,,,"KOA","RK73B2ALTD101J",,,"100R",,,,,,,,"R425"
71,,,,,,"TD-OHM","CY16-2-222JM",,,"2K2",,,,,,,,"R428"
72,,,,,,,"NRJ06J361TRF",,,"360R",,,,,,"5%",,"R417"
73,,,,,,"KOA","RK73H2ATTD1210F",,,"121R",,,,,,,,"R421"
74,"ARRAY 4 X 10K",,,,,"PANASONIC",,"1206",,"10K ARRAY",,,,,,,,"R404, R393"
75,"ARRAY 4 X 4K7",,,,,"PANASONIC",,"1206",,"4K7 ARRAY",,,,,,,,"R397"
76,"ARRAY 4 X 47R",,,,,"PANASONIC",,"1206",,"47R ARRAY",,,,,,,,"R385"
77,,,,,,,,"0805",,"47R",,,,,,,,"R390"
78,,,,,,,,"0805",,"3K3",,,,,,,,"R389"
79,,,,,,,,"0805",,"1K4",,,,,,,,"R400"
80,,,,,,,,"0805",,"10K",,,,,,,,"R388"
81,,,,,,,,,,"10R",,,,,,,,
82,,,,,,,,,,"11R",,,,,,,,
83,,,,,,,,,,"12R",,,,,,,,
84,,,,,,,,,,"13R",,,,,,,,
85,,,,,,,,,,"15R",,,,,,,,
86,,,,,,,,,,"16R",,,,,,,,
87,,,,,,,,,,"18R",,,,,,,,
88,,,,,,,,,,"20R",,,,,,,,
89,,,,,,,,,,"22R",,,,,,,,
90,,,,,,,,,,"24R",,,,,,,,
91,,,,,,,,,,"27R",,,,,,,,
92,,,,,,,,,,"30R",,,,,,,,
93,,,,,,,,,,"33R",,,,,,,,
94,,,,,,,,,,"36R",,,,,,,,
95,,,,,,,,,,"39R",,,,,,,,
96,,,,,,,,,,"43R",,,,,,,,
97,,,,,,,,,,"47R",,,,,,,,
98,,,,,,,,,,"51R",,,,,,,,
99,,,,,,,,,,"56R",,,,,,,,
100,,,,,,,,,,"62R",,,,,,,,
101,,,,,,,,,,"68R",,,,,,,,
102,,,,,,,,,,"75R",,,,,,,,
103,,,,,,,,,,"82R",,,,,,,,
104,,,,,,,,,,"91R",,,,,,,,
105,,,,,,,,,,"100R",,,,,,,,
106,,,,,,,,,,"110R",,,,,,,,
107,,,,,,,,,,"120R",,,,,,,,
108,,,,,,,,,,"130R",,,,,,,,
109,,,,,,,,,,"150R",,,,,,,,
110,,,,,,,,,,"160R",,,,,,,,
111,,,,,,,,,,"180R",,,,,,,,
112,,,,,,,,,,"200R",,,,,,,,
113,,,,,,,,,,"220R",,,,,,,,
114,,,,,,,,,,"240R",,,,,,,,
115,,,,,,,,,,"270R",,,,,,,,
116,,,,,,,,,,"300R",,,,,,,,
117,,,,,,,,,,"330R",,,,,,,,
118,,,,,,,,,,"360R",,,,,,,,
119,,,,,,,,,,"390R",,,,,,,,
120,,,,,,,,,,"430R",,,,,,,,
121,,,,,,,,,,"470R",,,,,,,,
122,,,,,,,,,,"510R",,,,,,,,
123,,,,,,,,,,"560R",,,,,,,,
124,,,,,,,,,,"620R",,,,,,,,
125,,,,,,,,,,"680R",,,,,,,,
126,,,,,,,,,,"750R",,,,,,,,
127,,,,,,,,,,"820R",,,,,,,,
128,,,,,,,,,,"910R",,,,,,,,
129,,,,,,,,,,"1K",,,,,,,,
130,,,,,,,,,,"1K1",,,,,,,,
131,,,,,,,,,,"1K2",,,,,,,,
132,,,,,,,,,,"1K3",,,,,,,,
133,,,,,,,,,,"1K5",,,,,,,,
134,,,,,,,,,,"1K6",,,,,,,,
135,,,,,,,,,,"1K8",,,,,,,,
136,,,,,,,,,,"2K",,,,,,,,
137,,,,,,,,,,"2K2",,,,,,,,
138,,,,,,,,,,"2K4",,,,,,,,
139,,,,,,,,,,"2K7",,,,,,,,
140,,,,,,,,,,"3K",,,,,,,,
141,,,,,,,,,,"3K3",,,,,,,,
142,,,,,,,,,,"3K6",,,,,,,,
143,,,,,,,,,,"3K9",,,,,,,,
144,,,,,,,,,,"4K3",,,,,,,,
145,,,,,,,,,,"4K7",,,,,,,,
146,,,,,,,,,,"5K1",,,,,,,,
147,,,,,,,,,,"5K6",,,,,,,,
148,,,,,,,,,,"6K2",,,,,,,,
149,,,,,,,,,,"6K8",,,,,,,,
150,,,,,,,,,,"7K5",,,,,,,,
151,,,,,,,,,,"8K2",,,,,,,,
152,,,,,,,,,,"9K1",,,,,,,,
153,,,,,,,,,,"10K",,,,,,,,
154,,,,,,,,,,"11K",,,,,,,,
155,,,,,,,,,,"12K",,,,,,,,
156,,,,,,,,,,"13K",,,,,,,,
157,,,,,,,,,,"15K",,,,,,,,
158,,,,,,,,,,"16K",,,,,,,,
159,,,,,,,,,,"18K",,,,,,,,
160,,,,,,,,,,"20K",,,,,,,,
161,,,,,,,,,,"22K",,,,,,,,
162,,,,,,,,,,"24K",,,,,,,,
163,,,,,,,,,,"27K",,,,,,,,
164,,,,,,,,,,"30K",,,,,,,,
165,,,,,,,,,,"33K",,,,,,,,
166,,,,,,,,,,"36K",,,,,,,,
167,,,,,,,,,,"39K",,,,,,,,
168,,,,,,,,,,"43K",,,,,,,,
169,,,,,,,,,,"47K",,,,,,,,
170,,,,,,,,,,"51K",,,,,,,,
171,,,,,,,,,,"56K",,,,,,,,
172,,,,,,,,,,"62K",,,,,,,,
173,,,,,,,,,,"68K",,,,,,,,
174,,,,,,,,,,"75K",,,,,,,,
175,,,,,,,,,,"82K",,,,,,,,
176,,,,,,,,,,"91K",,,,,,,,
177,,,,,,,,,,"100K",,,,,,,,
178,,,,,,,,,,"110K",,,,,,,,
179,,,,,,,,,,"120K",,,,,,,,
180,,,,,,,,,,"130K",,,,,,,,
181,,,,,,,,,,"150K",,,,,,,,
182,,,,,,,,,,"160K",,,,,,,,
183,,,,,,,,,,"180K",,,,,,,,
184,,,,,,,,,,"200K",,,,,,,,
185,,,,,,,,,,"220K",,,,,,,,
186,,,,,,,,,,"240K",,,,,,,,
187,,,,,,,,,,"270K",,,,,,,,
188,,,,,,,,,,"300K",,,,,,,,
