"Index","Library Ref","Library Path","Footprint Ref","Footprint Path","Description","Manufacturer 1","Manufacturer Part Number 1","Location","LCSC","Digikey","Mouser","TME","JAMECO","Package","Resistance","Tempco","Voltage","RESType","Tolerance","Wattage"
"aa0c8ac6-4945-4cf3-87d8-7d0a672840a2","","","","","","KOA SPEER","RK73B1JLTD333J","R128","","","","","","0603","33K","","","","5%","1/10W"
"c2794f10-edec-4218-bd87-4265d14a8bd2","RESTRIM",".\SCHLIB\PASSIVES.SCHLIB","","","","PIHER","PT10LV10-101A2020-PM-S","MARS21A","","","","","","","100R","","","TRIMMER ST-HOR","",""
"3d9503bc-c465-48d9-8be0-45726f8ab1af","RESTRIM",".\SCHLIB\PASSIVES.SCHLIB","","","","BOURNS","PV36W101C01B00","MARS21B","","","","","","","100R","","","TRIMMER MT SQ","",""
"0830e464-f204-4043-9f23-d6ed0770df23","RESTRIM",".\SCHLIB\PASSIVES.SCHLIB","","","","BOURNS","3006P-1-101LF","MARS21C","","","","","","","100R","","","TRIMMER MT RECT","",""
"d1041da6-c35b-4084-a881-a848176b56d3","RESTRIM",".\SCHLIB\PASSIVES.SCHLIB","","","","PIHER","PT10LV10-251A2020-S","MARS22A","","","","","","","250R","","","TRIMMER ST-HOR","",""
"49b8cc12-e712-4fc0-b0f2-a18150142902","RESTRIM",".\SCHLIB\PASSIVES.SCHLIB","","","","BOURNS","3299W-1-251LF","MARS22B","","","","","","","250R","","","TRIMMER MT SQ","",""
"ebd5fded-61fb-456d-853a-37f69e940ef4","RESTRIM",".\SCHLIB\PASSIVES.SCHLIB","","","","BOURNS","3006P-1-251LF","MARS22C","","","","","","","250R","","","TRIMMER MT RECT","",""
"f9abf2ba-09ba-4cbb-a845-d9aa490c691b","RESTRIM",".\SCHLIB\PASSIVES.SCHLIB","","","","PIHER","PT10LV10-501A2020-S","MARS23A","","","","","","","500R","","","TRIMMER ST-HOR","",""
"80d5c811-628e-418d-ae2c-3b99dff03866","RESTRIM",".\SCHLIB\PASSIVES.SCHLIB","","","","BOURNS","PV36W501C01B00","MARS23B","","","","","","","500R","","","TRIMMER MT SQ","",""
"437fe8d9-6a85-4791-8f94-d8e464b56841","RESTRIM",".\SCHLIB\PASSIVES.SCHLIB","","","","BOURNS","3006P-1-501LF","MARS23C","","","","","","","500R","","","TRIMMER MT RECT","",""
"ea9af9c4-9acb-45eb-92e0-3c3ff197f2ef","RESTRIM",".\SCHLIB\PASSIVES.SCHLIB","","","","PIHER","PT10LV10-102A2020-S","MARS24A","","","","","","","1K","","","TRIMMER ST-HOR","",""
"f98eca1e-03bc-4f38-9b65-d336cc18cefd","RESTRIM",".\SCHLIB\PASSIVES.SCHLIB","","","","BOURNS","PV36W102C01B00","MARS24B","","","","","","","1K","","","TRIMMER MT SQ","",""
"66e2c7a8-4c88-430c-8219-5ce6792245ea","RESTRIM",".\SCHLIB\PASSIVES.SCHLIB","","","","BOURNS","3006P-1-102LF","MARS24C","","","","","","","1K","","","TRIMMER MT RECT","",""
"c07162c7-c4f0-4b9d-a71e-314ea6905bf3","RESTRIM",".\SCHLIB\PASSIVES.SCHLIB","","","","PIHER","PT10LV10-252A2020-PM-S","MARS25A","","","","","","","2K5","","","TRIMMER ST-HOR","",""
"b141fb7d-a2b6-4d3d-a4e0-35804e8b4771","RESTRIM",".\SCHLIB\PASSIVES.SCHLIB","","","","BOURNS","3296W-1-252LF","MARS25B","","","","","","","2K5","","","TRIMMER MT SQ","",""
"0472a409-666b-441c-ada4-412b59ca97b3","RESTRIM",".\SCHLIB\PASSIVES.SCHLIB","","","","BOURNS","3006P-1-252LF","MARS25C","","","","","","","2K5","","","TRIMMER MT RECT","",""
"4694c224-4978-4c90-bcbd-b730bc711261","RESTRIM",".\SCHLIB\PASSIVES.SCHLIB","","","","PIHER","PT10LV10-502A2020-S","MARS26A","","","","","","","5K","","","TRIMMER ST-HOR","",""
"44815eda-0de0-4481-a451-266e250dd3df","RESTRIM",".\SCHLIB\PASSIVES.SCHLIB","","","","BOURNS","PV36W502C01B00","MARS26B","","","","","","","5K","","","TRIMMER MT SQ","",""
"8eed8b98-c4bf-4a1b-88b2-10926c8bf8da","RESTRIM",".\SCHLIB\PASSIVES.SCHLIB","","","","BOURNS","3006P-1-502LF","MARS26C","","","","","","","5K","","","TRIMMER MT RECT","",""
"1bc2617e-fd30-452b-bdfc-870e0a67c97d","RESTRIM",".\SCHLIB\PASSIVES.SCHLIB","","","","PIHER","PT10LV10-103A2020-S","MARS27A","","","","","","","10K","","","TRIMMER ST-HOR","",""
"39bf620a-1b3a-4c97-9f37-6ed132ed7440","RESTRIM",".\SCHLIB\PASSIVES.SCHLIB","","","","BOURNS","PV36W103C01B00","MARS27B","","","","","","","10K","","","TRIMMER MT SQ","",""
"d5baffcf-2de1-4bfe-957c-e5e14a313cea","RESTRIM",".\SCHLIB\PASSIVES.SCHLIB","","","","BOURNS","3006P-1-103LF","MARS27C","","","","","","","10K","","","TRIMMER MT RECT","",""
"c3c9ee36-51c6-4d77-bb96-b180cac8a921","RESTRIM",".\SCHLIB\PASSIVES.SCHLIB","","","","PIHER","PT10LV10-253A2020-PM-S","MARS28A","","","","","","","25K","","","TRIMMER ST-HOR","",""
"f301961f-7c8d-4d16-8053-df2267a9620f","RESTRIM",".\SCHLIB\PASSIVES.SCHLIB","","","","BOURNS","3299W-1-253LF","MARS28B","","","","","","","25K","","","TRIMMER MT SQ","",""
"ac63d3ae-c37a-4f73-bd94-d29f2c2cd63b","RESTRIM",".\SCHLIB\PASSIVES.SCHLIB","","","","BOURNS","3006P-1-253LF","MARS28C","","","","","","","25K","","","TRIMMER MT RECT","",""
"e1c94838-d814-4345-8eae-a4e6029b37b3","RESTRIM",".\SCHLIB\PASSIVES.SCHLIB","","","","PIHER","PT10LV10-503A2020-S","MARS29A","","","","","","","50K","","","TRIMMER ST-HOR","",""
"dcddc08a-aefc-497a-83f7-d8ba5dc9ec37","RESTRIM",".\SCHLIB\PASSIVES.SCHLIB","","","","BOURNS","PV36W503C01B00","MARS29B","","","","","","","50K","","","TRIMMER MT SQ","",""
"e1d0bacf-0c52-43a4-8b6b-613774659c88","RESTRIM",".\SCHLIB\PASSIVES.SCHLIB","","","","BOURNS","3006P-1-503LF","MARS29C","","","","","","","50K","","","TRIMMER MT RECT","",""
"4d695c63-b7e4-4729-9ff9-353f0b91b05c","RESTRIM",".\SCHLIB\PASSIVES.SCHLIB","","","","PIHER","PT10LV10-104A2020-PM-S
PT10MV10-104A2020","MARS30A","","","","","","","100K","","","TRIMMER ST-HOR","",""
"12593d5e-638e-4424-a9d0-ced54e3e2528","RESTRIM",".\SCHLIB\PASSIVES.SCHLIB","","","","BOURNS","PV36W104C01B00
PT10LV10-104A2020-I-PM-S","MARS30B","","","","","","","100K","","","TRIMMER MT SQ","",""
"550cad37-f949-4530-9ea3-07d4dd358df7","RESTRIM",".\SCHLIB\PASSIVES.SCHLIB","","","","BOURNS","3006P-1-104LF","MARS30C","","","","","","","100K","","","TRIMMER MT RECT","",""
"f1e3dba9-da85-4446-afdb-53abb341ff7f","RESTRIM",".\SCHLIB\PASSIVES.SCHLIB","","","","PIHER","PT10LV10-254A2020-PM-S
PT10LV10-254A2020-S","MARS31A","","","","","","","250K","","","TRIMMER ST-HOR","",""
"2a0d678e-79ec-497c-be2a-1a8ac67afe43","RESTRIM",".\SCHLIB\PASSIVES.SCHLIB","","","","BOURNS","3296W-1-254LF","MARS31B","","","","","","","250K","","","TRIMMER MT SQ","",""
"a15d252a-2fed-4916-86f1-a228066fb787","RESTRIM",".\SCHLIB\PASSIVES.SCHLIB","","","","BOURNS","3006P-1-254LF","MARS31C","","","","","","","250K","","","TRIMMER MT RECT","",""
"05b20519-3b99-4e37-9533-34dec5d1da25","RESTRIM",".\SCHLIB\PASSIVES.SCHLIB","","","","PIHER","PT10LV10-504A2020-S","MARS32A","","","","","","","500K","","","TRIMMER ST-HOR","",""
"ee80ba96-a6f0-4a9c-b281-602a2da17449","RESTRIM",".\SCHLIB\PASSIVES.SCHLIB","","","","BOURNS","PV36W504C01B00","MARS32B","","","","","","","500K","","","TRIMMER MT SQ","",""
"47ab0457-abe0-464c-90b1-4e073711406c","RESTRIM",".\SCHLIB\PASSIVES.SCHLIB","","","","BOURNS","3006P-1-504LF","MARS32C","","","","","","","500K","","","TRIMMER MT RECT","",""
"34fdeeb5-902c-4f2a-9d44-cf83a8415d21","RESTRIM",".\SCHLIB\PASSIVES.SCHLIB","","","","PIHER","PT10LV10-105A2020-S","MARS22A","","","","","","10MM","1M","","","TRIMMER ST-HOR","",""
"88456726-7750-40bb-b02c-517c63dc6dc5","RESTRIM",".\SCHLIB\PASSIVES.SCHLIB","","","","BOURNS","PV36W105C01B00","MARS22B","","","","","","","1M","","","TRIMMER MT SQ","",""
"4c5bedc4-50d3-4799-9dee-0fd219bab574","RESTRIM",".\SCHLIB\PASSIVES.SCHLIB","","","","BOURNS","3006P-1-105LF","MARS22C","","","","","","","1M","","","TRIMMER MT RECT","",""
"71c081ef-fd31-4dd2-9c16-adae29dc3080","RES0805",".\SCHLIB\PASSIVES.SCHLIB","","","","KOA","RK73B2ATTD102J","R327","","","","","","0805","1K","","","","5%",""
"ab2a5942-6b65-41e1-b689-463038a9bd6e","RES0603",".\SCHLIB\PASSIVES.SCHLIB","","","","CHIPCERA","CR03F7P1500L","R328","","","","","","0603","150R","","","","1%",""
"e8afa198-4816-4007-b980-6090a7b3b0c6","RES0603",".\SCHLIB\PASSIVES.SCHLIB","","","","","","R325, R326","","","","","","0603","1K","","","","5%",""
"8168537c-7ec2-4112-8037-9c6a3a5cc8f7","RES0603",".\SCHLIB\PASSIVES.SCHLIB","","","","","CRCW0603473JRTI","R329","","","","","","0603","47K","","","","5%",""
"ccec3419-7904-41b6-98bc-af7a485f38e1","RES0603",".\SCHLIB\PASSIVES.SCHLIB","","","","KOA","RM73B1JT681J","R330, R462","","","","","","0603","680R","","","","5%",""
"84f45921-fd3b-46c6-8013-27adbaa6472d","RES0603",".\SCHLIB\PASSIVES.SCHLIB","","","","PANASONIC","ERJ3GEYJ181V","R331","","","","","","0603","180R","","","","5%",""
"7266895e-4c74-42be-b86d-ea5d53e6977d","RES0603",".\SCHLIB\PASSIVES.SCHLIB","","","","","NRC06J331TR","R332","","","","","","0603","330R","","","","5%",""
"45856713-09da-4678-abe9-254f6954de20","RES0603",".\SCHLIB\PASSIVES.SCHLIB","","","","","CRCW060310K0","R334","","","","","","0603","10K","","","","5%",""
"d5a14eae-40c4-4e58-8a67-e5a98e2155f4","RES0603",".\SCHLIB\PASSIVES.SCHLIB","","","","","RC0603JR074K7","R335","","","","","","0603","4K7","","","","5%",""
"115819ef-8ef9-445e-8d81-f1704bb79532","RES0603",".\SCHLIB\PASSIVES.SCHLIB","","","","","RC0603JR-300R","R336","","","","","","0603","300R","","","","5%",""
"39c13884-218d-4bae-8245-f53e2fdaffd2","",".\SCHLIB\PASSIVES.SCHLIB","","","","KOA","RN73E2AT1003B","R364","","","","","","","100K","","","","",""
"e802c91b-af6a-406c-b626-b504b6097301","",".\SCHLIB\PASSIVES.SCHLIB","","","","KOA","RN73B1JLTD272","R362","","","","","","","2K7","","","","",""
"f500b8b8-1545-4727-990b-b2bb5a83dd37","",".\SCHLIB\PASSIVES.SCHLIB","","","","","CR-03J-7-220R","R361","","","","","","","220R","","","","5%",""
"82eda828-c6d0-4b95-9174-9cac75f0564a","RES0805",".\SCHLIB\PASSIVES.SCHLIB","","","","","RC0805FR-0710KL","R459","","","","","","0805","10K","","","","",""
"d5e83846-2879-42fa-ae0c-ff0cbd0e123e","RES0603",".\SCHLIB\PASSIVES.SCHLIB","","","","KYOCERA","CR10-330J","R477","","","","","","0603","33R","","","","5%",""
"f29a738d-6bf5-4207-826b-312f6353a3d0","RES0603",".\SCHLIB\PASSIVES.SCHLIB","","","","KOA","RK73B1JLTD331J","R464","","","","","","0603","330R","","","","5%",""
"c6c14bdc-92d4-44e6-bad1-e7b2feb73675","RES0805",".\SCHLIB\PASSIVES.SCHLIB","","","","KOA","RK73B2ALTD331J","R460","","","","","","0805","330R","","","","5%",""
"4a275e2e-0e95-43ce-bea1-5807d381305b","RES0603",".\SCHLIB\PASSIVES.SCHLIB","","","","PANASONIC","ERJ3EKF1502V","R461","","","","","","0603","15K","","","","1%",""
"7c89f947-aef4-49e8-8ec3-e079d21afb89","RES0603",".\SCHLIB\PASSIVES.SCHLIB","","","","PHYCOMP","RC0603FR073K32L","R479","","","","","","0603","3K32","","","","",""
"394a0928-152b-4bbe-be10-5b5ae786d59b","RES0603",".\SCHLIB\PASSIVES.SCHLIB","","","","KOA","RM73B1JT103J","R476","","","","","","0603","10K","","","","",""
"5db05b3a-2a39-4c34-a790-aa9a3ff5986b","",".\SCHLIB\PASSIVES.SCHLIB","","","","KOA","RK73B2ALTD101J","R475","","","","","","","100R","","","","",""
"6cdd2443-4931-4fda-a522-bb41c5c2a588","",".\SCHLIB\PASSIVES.SCHLIB","","","","WALSIN","WA06X103JT","R472, R480","","","","","","","10KX4","","","","",""
"1d867d73-4b6a-4315-82f7-c8ac895c89a8","",".\SCHLIB\PASSIVES.SCHLIB","","","","WALSIN","WA06X102JT","R478, R474","","","","","","","1KX4","","","","",""
"27cfd44d-21ec-4281-97f8-5006e09526e3","",".\SCHLIB\PASSIVES.SCHLIB","","","","YAGEO","RC0603FR-0720KL","R469","","","","","","","20K","","","","",""
"e915132a-bdbd-40e2-95fd-9895b1a9e125","","","","","","KOA","RK73B1JLTD103J","R423","","","","","","","10K","","","","",""
"ee24d752-1133-4bdb-9edb-54f5619e2f0f","","","","","","PANASONIC","ERJ-6ENF1501V","R422","","","","","","","1K5","","","","1%",""
"f1540fe1-49d9-4dde-ae22-66ac8131cdb3","","","","","","KYOCERA","CR10-102J-T","R426","","","","","","","","","","","",""
