"ID","Description","Library Ref","Library Path","Footprint Ref","Footprint Path","Manufacturer","Manufacturer PartNo","Package","AEC-Q","Mounting","Switchtype","Voltage","Supplier","Supplier PartNo","Location"
1,,,,,,"MEC","SWITCH LED",,,,,,,,"R504"
2,,,,,,"MEC","CAP GREY SMALL LED",,,,,,,,"R505"
3,,,,,,"MEC","CAP WHITE TRANSPARENT",,,,,,,,"R506"
4,,,,,,"MEC","CAP TRANSARENT",,,,,,,,"R508"
5,,,,,,"MEC","CAP RED LARGE LED",,,,,,,,"R511"
6,,,,,,,"LEDTESTER",,,,,,,,"R507"
7,,,,,,"ITT","ROTENC+SW D-SHAPE",,,,,,,,"A0058"
8,"SWITCH, TACTILE, 6X6, TH, 12MM ACTUATOR",,,,,"EBAY",,"SW6X6 12MM",,"TH",,,,,"A0339"
9,"SWITCH, TACTILE, 6X6, TH, 4MM ACTUATOR",,,,,"EBAY",,"SW6X6 4MM",,"TH",,,,,"A0342, A0343"
10,"SWITCH, TACTILE, 6X6, TH, 6MM ACTUATOR",,,,,"EBAY",,"SW6X6 6MM",,"TH",,,,,"A0347, A0346"
11,"SWITCH, TACTILE, 6X6, TH, 9MM ACTUATOR",,,,,"EBAY",,"SW6X6 9MM",,"TH",,,,,"A0344, A0345"
12,"SWITCH, TACTILE, 6X6, TH, 8MM ACTUATOR",,,,,"EBAY",,"SW6X6 8MM",,"TH",,,,,"A0341"
13,"SWITCH, TACTILE, 6X6, TH, 1.5MM ACTUATOR",,,,,"EBAY",,"SW6X6 1.5MM",,"TH",,,,,"A0358, A0359"
14,"SWITCH, TACTILE, 6X6, TH, 2MM ACTUATOR",,,,,"EBAY",,"SW6X6 2MM",,"TH",,,,,"A0348, A0349"
15,"SWITCH, TACTILE, 6X6, TH, 10MM ACTUATOR",,,,,"EBAY",,"SW6X6 10MM",,"TH",,,,,"A0340"
16,"SWITCH, TACTILE, 6X6, TH, 5MM ACTUATOR",,,,,"EBAY",,"SW6X6 5MM",,"TH",,,,,"A0361, A0362"
17,"SWITCH, TACTILE, 6X6, TH, 3MM ACTUATOR",,,,,"EBAY",,"SW6X6 3MM",,"TH",,,,,"A0350, A0351"
18,"SWITCH, TACTILE, 6X6, TH, 1MM ACTUATOR, LOW FORCE",,,,,"EBAY",,"SW6X6 1MM LOW FORCE",,"TH",,,,,"A0360"
19,"SWITCH, TACTILE, 6X6, TH, 1MM ACTUATOR",,,,,"EBAY",,"SW6X6 1MM",,"TH",,,,,"A0352"
20,"SWITCH, TACTILE, 6X6, TH, 2MM ACTUATOR, RIGHT ANGLE",,,,,"EBAY",,"SW6X6 2MM RA",,"THRA",,,,,"A0353, A0354, A0355, A0356, A0357"
21,"SWITCH, TACTILE, 6X6, SMT, 0.5MM ACTUATOR, LOW FORCE",,,,,"EBAY",,"SW6X6 SHIELD 0.5MM LOW FORCE",,"SMT",,,,,"A0337"
22,"SWITCH, TACTILE, 6X6, SMT, 1MM ACTUATOR",,,,,"EBAY",,"SW6X6 SHIELD 1MM",,"SMT",,,"EBAY",,"A0338"
23,,,,,,"OMRON","B3S-1000",,,,,,"DIGIKEY","SW415-ND","A0336"
24,"SWITCH, CAP FOR TEKTRONIX 1103 SWITCH",,,,,"NKK","AT488JB",,,,,,,,"A0624"
25,"SWITCH, CAP, PBH SERIES, BLACK",,,,,"E-SWITCH","1RBLK",,,"TH","DPDT RA PUSH",,"MOUSER",,"A0455"
26,"SWITCH, DPDT, RA, PUSH",,,,,"E-SWITCH","PBH2UEEKZXNAGX",,,"TH","DPDT RA PUSH",,,,"A0456, A0457, A0458, A0459"
27,"SWITCH, CAP, PBH SERIES, DARK GREY",,,,,"E-SWITCH","1RDGR",,,,,,,,"A0455"
28,"SWITCH, CAP, PBH SERIES, RED",,,,,"E-SWITCH","1RRED",,,,,,,,"A0455"
29,"SWITCH, CAP, PBH SERIES, WHITE",,,,,"E-SWITCH","1RWHT",,,,,,,,"A0455"
30,"SWITCH, CAP, PBH SERIES, LIGHT GREY",,,,,"E-SWITCH","1RLGR",,,,,,,,"A0455"
31,"SWITCH, CAP, ENCODER AGILENT, SMALL",,,,,"AGILENT","INFINIIUM",,,,,,,,"A0464"
32,"SWITCH, CAP, ENCODER AGILENT, MEDIUM",,,,,"AGILENT","INFINIIUM",,,,,,,,"A0445"
33,"SWITCH, DPDT, RA, PUSH, ILLUMINATED, SILVER CAP WITH IO SIGN",,,,,"E-SWITCH","WBL2UEEGQR05SILPWR",,,,,,,,
34,"SWITCH, DPDT, RA, PUSH, ILLUMINATED, BLACK CAP WITH IO SIGN",,,,,"E-SWITCH","WBL2UOAGYQR05BLKPWR",,,,,,,,
35,"SWITCH, DPDT, RA, PUSH, ILLUMINATED, CLEAR CAP,",,,,,"E-SWITCH","WBL2UOARQ",,,,,,,,"A0501, A0502"
36,"SWITCH, MOM, VERTICAL, MEC, PLUNGER FOR CAP",,,,,"MEC","3FTH9",,,,,,,,"A0473, A0452, A0186"
37,"SWITCH, MOM, VERTICAL, MEC, 20G, NO PLUNGER, GREY",,,,,"MEC","5GTH920",,,,,,,,"A0493"
38,"SWITCH, MOM, VERTICAL, MEC, 35G, NO PLUNGER, BLACK",,,,,"MEC","5GTH935",,,,,,,,"A0486"
39,,,,,,,"PTS645SM43SMTR92LFS",,,,,,,,"A0477"
40,,,,,,,"EVP-AEGE2A",,,,,,,,"R767"
41,,,,,,,,"dpdt mini smd",,,,,,,"R790"
42,,,,,,,"JS102011SAQN",,,,,,,,"R772"
43,,,,,,,,"SW12X12-LED-WHITE",,,,,,,"A0517"
44,"ENCODER, MAGNETIC",,,,,"POLOLU","3499",,,,,,,,"A0516"
45,"ENCODER, MAGNETIC",,,,,"OSEPP","ENC-01",,,,,,,,"A0516"
46,"SWITCH,CSPDT, MICRO WITH LEVER, RIGHT ANGLE",,,,,"KOREAN HROPARTS","K9-1267B-L",,,,,,"LCSC","C136688","A0415"
47,,,,,,"E-SWITCH","WITH LED",,,,,,,,"A0701, A0700"
48,,,,,,"PREH","WELLER BUTTON",,,,,,,,"A0723"
49,,,,,,"CK","F2UEE",,,,,,,,"A0812"
50,,,,,,"CK","F2UEE TB",,,,,,,,"A0813"
51,,,,,,"TONELUCK","PBN-S2C35-AAG",,,,,,,,"A0814"
52,,,,,,"CK","TSWB3NCB222LFS",,,,,,"DIGIKEY","CKN10345-ND","A0858"
