"Index","Description","Library Ref","Library Path","Footprint Ref","Footprint Path","Manufacturer","Manufacturer PartNo","Package","AEC-Q","Mounting","Switchtype","Voltage","Supplier","Supplier PartNo","Location"
"5522cd98-0823-4d97-adcc-8ee460fbdd30","","","","","","MEC","SWITCH LED","","","","","","","","R504"
"1c0b606d-0717-4feb-9b87-ddba664f9d7e","","","","","","MEC","CAP GREY SMALL LED","","","","","","","","R505"
"0f667089-5098-4fe1-8575-8c3af7f52179","","","","","","MEC","CAP WHITE TRANSPARENT","","","","","","","","R506"
"72a6f8f0-4ee7-4d85-87b6-1c67c4bb4e15","","","","","","MEC","CAP TRANSARENT","","","","","","","","R508"
"ab6f9a1c-3ddf-44d8-9b2b-43acb8cbd2f3","","","","","","MEC","CAP RED LARGE LED","","","","","","","","R511"
"944f27a5-07c7-465c-b772-c2227ebf90d2","","","","","","","LEDTESTER","","","","","","","","R507"
"e65cb29d-d9f4-4392-b2f2-721dc071b9d8","","","","","","ITT","ROTENC+SW D-SHAPE","","","","","","","","A0058"
"d74f074c-3bb7-45c4-ad65-8ae5d26b45fc","SWITCH, TACTILE, 6X6, TH, 12MM ACTUATOR","","","","","EBAY","","SW6X6 12MM","","TH","","","","","A0339"
"48e1be36-90a2-44a4-ba93-66c447d0dd11","SWITCH, TACTILE, 6X6, TH, 4MM ACTUATOR","","","","","EBAY","","SW6X6 4MM","","TH","","","","","A0342, A0343"
"e9cc2009-5a39-4176-818d-9e227e1b79bf","SWITCH, TACTILE, 6X6, TH, 6MM ACTUATOR","","","","","EBAY","","SW6X6 6MM","","TH","","","","","A0347, A0346"
"80474420-9210-4971-b801-c08612e5fe7c","SWITCH, TACTILE, 6X6, TH, 9MM ACTUATOR","","","","","EBAY","","SW6X6 9MM","","TH","","","","","A0344, A0345"
"f808135e-b57c-4e94-9f17-3430f94e6ab9","SWITCH, TACTILE, 6X6, TH, 8MM ACTUATOR","","","","","EBAY","","SW6X6 8MM","","TH","","","","","A0341"
"4429db40-0d5e-4a14-bd74-2d8b818539a0","SWITCH, TACTILE, 6X6, TH, 1.5MM ACTUATOR","","","","","EBAY","","SW6X6 1.5MM","","TH","","","","","A0358, A0359"
