"Index","Library Ref","Library Path","Footprint Ref","Footprint Path","Description","Manufacturer 1","Manufacturer Part Number 1","Location","LCSC","Digikey","Mouser","TME","Switchtype","Package","Features","Mounting","Voltage"
"5522cd98-0823-4d97-adcc-8ee460fbdd30","","","","","SWITCH","MEC","SWITCH LED","R504","","","","","","","","",""
"1c0b606d-0717-4feb-9b87-ddba664f9d7e","","","","","SWITCH","MEC","CAP GREY SMALL LED","R505","","","","","","","","",""
"0f667089-5098-4fe1-8575-8c3af7f52179","","","","","SWITCH","MEC","CAP WHITE TRANSPARENT","R506","","","","","","","","",""
"72a6f8f0-4ee7-4d85-87b6-1c67c4bb4e15","","","","","SWITCH","MEC","CAP TRANSARENT","R508","","","","","","","","",""
"ab6f9a1c-3ddf-44d8-9b2b-43acb8cbd2f3","","","","","SWITCH","MEC","CAP RED LARGE LED","R511","","","","","","","","",""
"944f27a5-07c7-465c-b772-c2227ebf90d2","","","","","SWITCH","","LEDTESTER","R507","","","","","","","","",""
"e65cb29d-d9f4-4392-b2f2-721dc071b9d8","","","","","SWITCH","ITT","ROTENC+SW D-SHAPE","A0058","","","","","","","","",""
"d74f074c-3bb7-45c4-ad65-8ae5d26b45fc","","","","","SWITCH,TACTILE,SW6X6 12MM,12MM ACTUATOR HEIGHT,TH","EBAY","","A0339","","","","","TACTILE","SW6X6 12MM","12MM ACTUATOR HEIGHT","TH",""
"48e1be36-90a2-44a4-ba93-66c447d0dd11","","","","","SWITCH,TACTILE,SW6X6 4MM,4MM ACTUATOR HEIGHT,TH","EBAY","","A0342, A0343","","","","","TACTILE","SW6X6 4MM","4MM ACTUATOR HEIGHT","TH",""
"e9cc2009-5a39-4176-818d-9e227e1b79bf","","","","","SWITCH,TACTILE,SW6X6 6MM,6MM ACTUATOR HEIGHT,TH","EBAY","","A0347, A0346","","","","","TACTILE","SW6X6 6MM","6MM ACTUATOR HEIGHT","TH",""
"80474420-9210-4971-b801-c08612e5fe7c","","","","","SWITCH,TACTILE,SW6X6 9MM,9MM ACTUATOR HEIGHT,TH","EBAY","","A0344, A0345","","","","","TACTILE","SW6X6 9MM","9MM ACTUATOR HEIGHT","TH",""
"f808135e-b57c-4e94-9f17-3430f94e6ab9","","","","","SWITCH,TACTILE,SW6X6 8MM,8MM ACTUATOR HEIGHT,TH","EBAY","","A0341","","","","","TACTILE","SW6X6 8MM","8MM ACTUATOR HEIGHT","TH",""
"4429db40-0d5e-4a14-bd74-2d8b818539a0","","","","","SWITCH,TACTILE,SW6X6 1.5MM,1.5MM ACTUATOR HEIGHT,TH","EBAY","","A0358, A0359","","","","","TACTILE","SW6X6 1.5MM","1.5MM ACTUATOR HEIGHT","TH",""
"d0c55493-97b9-49ad-b116-217f825fea33","","","","","SWITCH,TACTILE,SW6X6 2MM,2MM ACTUATOR HEIGHT,TH","EBAY","","A0348, A0349","","","","","TACTILE","SW6X6 2MM","2MM ACTUATOR HEIGHT","TH",""
"23c1995e-159f-4c0c-bb36-331918112039","","","","","SWITCH,TACTILE,SW6X6 10MM,10MM ACTUATOR HEIGHT,TH","EBAY","","A0340","","","","","TACTILE","SW6X6 10MM","10MM ACTUATOR HEIGHT","TH",""
"40df2be8-a9b9-4cec-ae37-758d44f4e9b7","","","","","SWITCH,TACTILE,SW6X6 5MM,5MM ACTUATOR HEIGHT,TH","EBAY","","A0361, A0362","","","","","TACTILE","SW6X6 5MM","5MM ACTUATOR HEIGHT","TH",""
"4647796e-aaa5-45c0-9c80-655c81a9ff2f","","","","","SWITCH,TACTILE,SW6X6 3MM,3MM ACTUATOR HEIGHT,TH","EBAY","","A0350, A0351","","","","","TACTILE","SW6X6 3MM","3MM ACTUATOR HEIGHT","TH",""
"7b59145c-8b74-4edd-8a59-4d993076cdec","","","","","SWITCH,TACTILE,SW6X6 1MM LOW FORCE,1MM ACTUATOR HEIGHT,LOW FORCE,TH","EBAY","","A0360","","","","","TACTILE","SW6X6 1MM LOW FORCE","1MM ACTUATOR HEIGHT,LOW FORCE","TH",""
"a72c1f55-9b27-4e1d-a971-6bd3e9575c71","","","","","SWITCH,TACTILE,SW6X6 1MM,1MM ACTUATOR HEIGHT,TH","EBAY","","A0352","","","","","TACTILE","SW6X6 1MM","1MM ACTUATOR HEIGHT","TH",""
"433076b0-4aab-44ef-97c7-31a395a49db5","","","","","SWITCH,TACTILE,SW6X6 2MM RA,2MM ACTUATOR HEIGHT,RIGHT ANGLE,TH","EBAY","","A0353, A0354, A0355, A0356, A0357","","","","","TACTILE","SW6X6 2MM RA","2MM ACTUATOR HEIGHT,RIGHT ANGLE","TH",""
"2b26ea39-2df2-4ef9-ad21-e369ca62a87a","","","","","SWITCH,TACTILE,SW6X6 SHIELD 0.5MM LOW FORCE,0.5MM ACTUATOR HEIGHT,LOW FORCE,SHIELDED,SMT","EBAY","","A0337","","","","","TACTILE","SW6X6 SHIELD 0.5MM LOW FORCE","0.5MM ACTUATOR HEIGHT,LOW FORCE,SHIELDED","SMT",""
"71293b01-3208-4d89-857f-a4e4ae6a1945","","","","","SWITCH,TACTILE,SW6X6 SHIELD 1MM,1MM ACTUATOR HEIGHT,SHIELDED,SMT","EBAY","","A0338","","","","","TACTILE","SW6X6 SHIELD 1MM","1MM ACTUATOR HEIGHT,SHIELDED","SMT",""
"6d1c1b8c-99c2-45ae-8785-6222ee68ec09","","","","","SWITCH","OMRON","B3S-1000","A0336","","SW415-ND","","","","","","",""
"600103b5-cb93-4c58-9faf-c8d2c9980d09","","","","","SWITCH","NKK","AT488JB","A0624","","","","","","","","",""
"d7de8ff1-7b73-488d-9ab3-71e3bbb078ef","","","","","SWITCH,DPDT RA PUSH,TH","E-SWITCH","1RBLK","A0455","","","","","DPDT RA PUSH","","","TH",""
"3f70c145-6170-4bc7-a7d6-e56527b1edc2","","","","","SWITCH,DPDT RA PUSH,TH","E-SWITCH","PBH2UEEKZXNAGX","A0456, A0457, A0458, A0459","","","","","DPDT RA PUSH","","","TH",""
"ec14a67a-846b-4d12-ae95-8d8cab3edf19","","","","","SWITCH","E-SWITCH","1RDGR","A0455","","","","","","","","",""
"5e29bf8d-d1d7-4172-bde4-5fb7bbd18402","","","","","SWITCH","E-SWITCH","1RRED","A0455","","","","","","","","",""
"1f6d66a7-eb03-46a1-968b-b438cc6cb679","","","","","SWITCH","E-SWITCH","1RWHT","A0455","","","","","","","","",""
"4bf494d2-57d4-4d32-9901-dc51c655c648","","","","","SWITCH","E-SWITCH","1RLGR","A0455","","","","","","","","",""
"21cab66a-24aa-4c7a-b80b-85191c106751","","","","","SWITCH","AGILENT","INFINIIUM","A0464","","","","","","","","",""
"1f3317fa-34f1-4813-8e6c-890c4806fefc","","","","","SWITCH","AGILENT","INFINIIUM","A0445","","","","","","","","",""
"715f79cb-d6b8-43b4-8fea-587f633d5be5","","","","","SWITCH","E-SWITCH","WBL2UEEGQR05SILPWR","","","","","","","","","",""
"b4f0c4cc-ec76-4efb-9b02-db1b831c39b1","","","","","SWITCH","E-SWITCH","WBL2UOAGYQR05BLKPWR","","","","","","","","","",""
"ffa830be-723e-42ea-80da-ec8684dfdef3","","","","","SWITCH","E-SWITCH","WBL2UOARQ","A0501, A0502","","","","","","","","",""
"03e3abf0-fc78-4e9b-9fa3-ff04a1f7f84b","","","","","SWITCH","MEC","3FTH9","A0473, A0452, A0186","","","","","","","","",""
"54dba403-059b-48cb-b07b-3547f53f924e","","","","","SWITCH","MEC","5GTH920","A0493","","","","","","","","",""
"ed87bc06-8c7a-4ccc-ac49-e1d66c904847","","","","","SWITCH","MEC","5GTH935","A0486","","","","","","","","",""
"252a6d93-a251-46d0-b638-f754e9dc5a28","","","","","SWITCH","","PTS645SM43SMTR92LFS","A0477","","","","","","","","",""
"0ef769ea-3f54-4cd4-9e20-676c3348c0f1","","","","","SWITCH","","EVP-AEGE2A","R767","","","","","","","","",""
"dff32636-8cd3-48e7-ac90-5796124aaa0d","","","","","SWITCH,DPDT MINI SMD","","","R790","","","","","","DPDT MINI SMD","","",""
"4d07fd74-3d1e-40f7-97d4-cacc4aab3f1c","","","","","SWITCH","","JS102011SAQN","R772","","","","","","","","",""
"6f3b6949-5dad-48dd-8669-d58a3098fb35","","","","","SWITCH,SW12X12-LED-WHITE","","","A0517","","","","","","SW12X12-LED-WHITE","","",""
"a2a03a61-154d-4138-bf91-fe2a331b5b0b","","","","","SWITCH","POLOLU","3499","A0516","","","","","","","","",""
"911a9f0c-5d18-4a64-bee2-6fda23af83c8","","","","","SWITCH","OSEPP","ENC-01","A0516","","","","","","","","",""
"eeae66e4-6553-4dbe-816f-6960a716d63a","","","","","SWITCH","KOREAN HROPARTS","K9-1267B-L","A0415","C136688","","","","","","","",""
"93c47e28-4307-430a-9e52-ee0e09561d8e","","","","","SWITCH","E-SWITCH","WITH LED","A0701, A0700","","","","","","","","",""
"78a9256f-3453-47bb-be44-aa703494f922","","","","","SWITCH","PREH","WELLER BUTTON","A0723","","","","","","","","",""
"67654d4e-cc55-4ed8-a523-39b9d2f576e7","","","","","SWITCH","CK","F2UEE","A0812","","","","","","","","",""
"6ce04a37-d028-4326-85f7-bf586e51aa4e","","","","","SWITCH","CK","F2UEE TB","A0813","","","","","","","","",""
"9f6f2532-2af8-4ec2-91ba-b8c6d9cd2678","","","","","SWITCH","TONELUCK","PBN-S2C35-AAG","A0814","","","","","","","","",""
