"ID","Description","Library Ref","Library Path","Footprint Ref","Footprint Path","Manufacturer","Manufacturer PartNo","Package","AEC-Q","Supplier","Supplier PartNo","Vceo","Ic","GenericName","BJTtype","Location"
1,"BJT, PNP, 65V, 0.1A, NXP, BC856A,215, SOT23",,,,,"NXP","BC856A,215","SOT23",,,,"65V","0.1A","BC856","PNP","R65"
2,"BJT, NPN, 65V, 0.1A, NXP, BC846A,215, SOT23",,,,,"NXP","BC846A,215","SOT23",,,,"65V","0.1A","BC846","NPN","R69"
3,"BJT, NPN, PREBIASED, 50V, 0.1A, ROHM, DTC144EKA, SOT23",,,,,"ROHM","DTC144EKA","SOT23",,,,"50V","0.1A",,"NPN, PREBIASED","R114"
4,"BJT, PNP, 45V, 0.5A, NXP, BCX71K, SOT23",,,,,"NXP","BCX71K","SOT23",,,,"45V","0.5A","BCX71","PNP","R115, R116"
5,"BJT, NPN, 40V, 0.2A, LESHAN, MMBT3904, SOT23",,,,,"LESHAN","MMBT3904","SOT23",,,,"40V","0.2A","MMBT3904","NPN","R120"
6,"BJT, NPN, 40V, 0.2A, LESHAN, LMBT3904LT16, SOT23",,,,,"LESHAN","LMBT3904LT16","SOT23",,,,"40V","0.2A","LMBT3904","NPN","R122, R123, R124"
7,"BJT, NPN, 40V, 0.6A, ONSEMI, MMBT2222, SOT23",,,,,"ONSEMI","MMBT2222","SOT23",,,,"40V","0.6A","MMBT2222","NPN","R214"
8,"BJT, JFET N-CHAN, 35V, 0.005A, SILICONIX, J112, TO92",,,,,"SILICONIX","J112","TO92",,"JAMECO","954390","35V","0.005A","J112","JFET N-CHAN",
9,"BJT, JFET N-CHAN, 25V, 0.01A, SILICONIX, J110, TO92",,,,,"SILICONIX","J110","TO92",,"JAMECO","814143","25V","0.01A","J110","JFET N-CHAN",
10,"BJT, NPN, 60V, 0.5A, ONSEMI, MPSA05, TO92",,,,,"ONSEMI","MPSA05","TO92",,"JAMECO","297799","60V","0.5A","MPSA05","NPN","A0185"
11,"BJT, DUAL NPN DIGITAL, 50V, 0.1A, ROHM, UMH11, SOT363",,,,,"ROHM","UMH11","SOT363",,,,"50V","0.1A",,"DUAL NPN DIGITAL","R321"
12,"BJT, PNP DIGITAL, 50V, 0.1A, ROHM, DTA114, SC75",,,,,"ROHM","DTA114","SC75",,,,"50V","0.1A",,"PNP DIGITAL","R324"
13,"BJT, NPN, 40V, 0.6A, ROHM, MMST4401, SC59",,,,,"ROHM","MMST4401","SC59",,,,"40V","0.6A",,"NPN","R351, R344, R349, R350, R441, R442, R443, R444 TO 448"
14,"BJT, NPN, SWITCHING, 15V, 0.2A, ONSEMI, MMBT2369, SOT23",,,,,"ONSEMI","MMBT2369","SOT23",,,,"15V","0.2A",,"NPN, SWITCHING","R338, R341"
15,"BJT, NPN 7GHZ, 12V, 0.1A, NEC, 2SC3356, SOT23",,,,,"NEC","2SC3356","SOT23",,,,"12V","0.1A",,"NPN 7GHZ","R342"
16,"BJT, NPN, 40V, 0.2A, ONSEMI, MMBT3904, SOT23",,,,,"ONSEMI","MMBT3904","SOT23",,,,"40V","0.2A",,"NPN","R345, R346"
17,"BJT, NPN, 40V, 0.2A, SIEMENS, SMBT3904, SOT23",,,,,"SIEMENS","SMBT3904","SOT23",,,,"40V","0.2A",,"NPN","R347, R348, R438, R439"
18,"BJT, NPN, 300V, 0.5A, ONSEMI, MMBTA42LT1, SOT23",,,,,"ONSEMI","MMBTA42LT1","SOT23",,,,"300V","0.5A",,"NPN","R456, R473"
19,"BJT, NPN, 30V, 0.1A, NXP, BC848B, SOT23",,,,,"NXP","BC848B","SOT23",,,,"30V","0.1A",,"NPN","R433, R434"
20,"BJT, PNP, 50V, 0.1A, ONSEMI, MMUN2111LT1, SOT23",,,,,"ONSEMI","MMUN2111LT1","SOT23",,,,"50V","0.1A",,"PNP","R435, R436"
21,"BJT, DUAL NPN, 40V, 0.2A, NXP, MMBT3904DW1, SOT363",,,,,"NXP","MMBT3904DW1","SOT363",,,,"40V","0.2A",,"DUAL NPN","R440"
22,"BJT, NPN, 40V, 0.2A, CENTRAL SEMI, CMPT3904, SOT23",,,,,"CENTRAL SEMI","CMPT3904","SOT23",,,,"40V","0.2A",,"NPN","R437"
23,"BJT, NPN 9GHZ, 15V, 0.12A, NXP, BFG541, SOT223",,,,,"NXP","BFG541","SOT223",,,,"15V","0.12A",,"NPN 9GHZ","R491"
24,"BJT, DUAL JFET N-CH, 50V, 0.05A, INTERFET, U232, TO18-6",,,,,"INTERFET","U232","TO18-6",,,,"50V","0.05A",,"DUAL JFET N-CH","A0093"
25,"BJT, PNP, 40V, 0.6A, ONSEMI, 2N2907, TO18",,,,,"ONSEMI","2N2907","TO18",,,,"40V","0.6A",,"PNP","A0151"
26,"BJT, THYRISTOR, 600V, 5A, TI, TIC106M, TO220",,,,,"TI","TIC106M","TO220",,,,"600V","5A",,"THYRISTOR","A0036"
27,"BJT, DUAL PNP, 12V, 2.5A, DIODES INC, ZDT717CT, SM8",,,,,"DIODES INC","ZDT717CT","SM8",,"DIGIKEY","ZDT717CT","12V","2.5A",,"DUAL PNP","A0068"
28,"BJT, NPN, 30V, 0.5A, NXP, BSR13, SOT23",,,,,"NXP","BSR13","SOT23",,,,"30V","0.5A",,"NPN","A0074"
29,"BJT, PNP, 65V, 0.1A, NXP, BC856B, SOT23",,,,,"NXP","BC856B","SOT23",,,,"65V","0.1A",,"PNP","A0077"
30,"BJT, NPN, 40V, 0.2A, ONSEMI, MMBT3904, SOT23",,,,,"ONSEMI","MMBT3904","SOT23",,,,"40V","0.2A",,"NPN","A0165"
31,"BJT, PNP, 80V, 1.5A, DIOTEC, BD140-16-CDI, TO126",,,,,"DIOTEC","BD140-16-CDI","TO126",,,,"80V","1.5A",,"PNP","A0182"
32,"BJT, PNP, 80V, 1.5A, NXP, BD140, TO126",,,,,"NXP","BD140","TO126",,"DIGIKEY","497-6657-5-ND","80V","1.5A",,"PNP","A0239"
33,"BJT, PNP, 40V, 0.6A, DIOTEC, 2N2907A, TO92",,,,,"DIOTEC","2N2907A","TO92",,"TME",,"40V","0.6A",,"PNP","A0222, A0225"
