"Index","Description","Library Ref","Library Path","Footprint Ref","Footprint Path","Manufacturer","Manufacturer PartNo","Package","AEC-Q","Supplier","Supplier PartNo","Vceo","Ic","GenericName","BJTtype","Location"
"4a9117b2-d683-4795-991c-49cf2f949727","BJT, PNP, 65V, 0.1A, NXP, BC856A,215, SOT23","","","","","NXP","BC856A,215","SOT23","","","","65V","0.1A","BC856","PNP","R65"
"3738395b-9a12-41bd-bc1e-99d26a886477","BJT, NPN, 65V, 0.1A, NXP, BC846A,215, SOT23","","","","","NXP","BC846A,215","SOT23","","","","65V","0.1A","BC846","NPN","R69"
"14d2e1f7-94e6-48b0-9ac1-8e64ca0f6bb5","BJT, NPN, PREBIASED, 50V, 0.1A, ROHM, DTC144EKA, SOT23","","","","","ROHM","DTC144EKA","SOT23","","","","50V","0.1A","","NPN, PREBIASED","R114"
"29653e9b-5cc7-41cd-9a54-18b73a4c9e34","BJT, PNP, 45V, 0.5A, NXP, BCX71K, SOT23","","","","","NXP","BCX71K","SOT23","","","","45V","0.5A","BCX71","PNP","R115, R116"
"03ea9901-d782-4ecc-8cce-452b38aa8754","BJT, NPN, 40V, 0.2A, LESHAN, MMBT3904, SOT23","","","","","LESHAN","MMBT3904","SOT23","","","","40V","0.2A","MMBT3904","NPN","R120"
"a5a4e4ff-0208-4d13-95c5-a76805eafa1c","BJT, NPN, 40V, 0.2A, LESHAN, LMBT3904LT16, SOT23","","","","","LESHAN","LMBT3904LT16","SOT23","","","","40V","0.2A","LMBT3904","NPN","R122, R123, R124"
"6032f3d8-8c65-4f75-a65d-16acf577ee69","BJT, NPN, 40V, 0.6A, ONSEMI, MMBT2222, SOT23","","","","","ONSEMI","MMBT2222","SOT23","","","","40V","0.6A","MMBT2222","NPN","R214"
"3918f7f0-e918-4c2e-b84e-e8f93e1648fe","BJT, JFET N-CHAN, 35V, 0.005A, SILICONIX, J112, TO92","","","","","SILICONIX","J112","TO92","","JAMECO","954390","35V","0.005A","J112","JFET N-CHAN",""
"f270b16f-3b79-4b75-b036-3fd4455de2a0","BJT, JFET N-CHAN, 25V, 0.01A, SILICONIX, J110, TO92","","","","","SILICONIX","J110","TO92","","JAMECO","814143","25V","0.01A","J110","JFET N-CHAN",""
"d39a0ea8-c46e-4d5a-8588-bbed8ae536e7","BJT, NPN, 60V, 0.5A, ONSEMI, MPSA05, TO92","","","","","ONSEMI","MPSA05","TO92","","JAMECO","297799","60V","0.5A","MPSA05","NPN","A0185"
"25fcf727-431c-491d-894a-ab1b6e1253b7","BJT, DUAL NPN DIGITAL, 50V, 0.1A, ROHM, UMH11, SOT363","","","","","ROHM","UMH11","SOT363","","","","50V","0.1A","","DUAL NPN DIGITAL","R321"
"896cebfe-17d0-4bd2-b08e-964cd4f7bf83","BJT, PNP DIGITAL, 50V, 0.1A, ROHM, DTA114, SC75","","","","","ROHM","DTA114","SC75","","","","50V","0.1A","","PNP DIGITAL","R324"
"f848d294-457d-4f34-9fc8-689841ce7562","BJT, NPN, 40V, 0.6A, ROHM, MMST4401, SC59","","","","","ROHM","MMST4401","SC59","","","","40V","0.6A","","NPN","R351, R344, R349, R350, R441, R442, R443, R444 TO 448"
"4c499ad9-5cf0-4c9c-a4fa-036d63175672","BJT, NPN, SWITCHING, 15V, 0.2A, ONSEMI, MMBT2369, SOT23","","","","","ONSEMI","MMBT2369","SOT23","","","","15V","0.2A","","NPN, SWITCHING","R338, R341"
"4f77b780-13b7-4e20-be22-04b82437da8d","BJT, NPN 7GHZ, 12V, 0.1A, NEC, 2SC3356, SOT23","","","","","NEC","2SC3356","SOT23","","","","12V","0.1A","","NPN 7GHZ","R342"
"2a9232ba-cb80-427e-a971-cd1ea35cb514","BJT, NPN, 40V, 0.2A, ONSEMI, MMBT3904, SOT23","","","","","ONSEMI","MMBT3904","SOT23","","","","40V","0.2A","","NPN","R345, R346"
"30cd208b-48a5-4ce9-845d-9ffcbad4fb33","BJT, NPN, 40V, 0.2A, SIEMENS, SMBT3904, SOT23","","","","","SIEMENS","SMBT3904","SOT23","","","","40V","0.2A","","NPN","R347, R348, R438, R439"
"a6fff5dc-60ae-40f0-838c-7fe12634c4fd","BJT, NPN, 300V, 0.5A, ONSEMI, MMBTA42LT1, SOT23","","","","","ONSEMI","MMBTA42LT1","SOT23","","","","300V","0.5A","","NPN","R456, R473"
"ce7d9ed6-9af1-4f03-87e2-4748e55e54eb","BJT, NPN, 30V, 0.1A, NXP, BC848B, SOT23","","","","","NXP","BC848B","SOT23","","","","30V","0.1A","","NPN","R433, R434"
"24484a73-aed4-47a9-841d-d66964dbe3c4","BJT, PNP, 50V, 0.1A, ONSEMI, MMUN2111LT1, SOT23","","","","","ONSEMI","MMUN2111LT1","SOT23","","","","50V","0.1A","","PNP","R435, R436"
"3dba7ac3-691b-4b3d-8c35-99551767e682","BJT, DUAL NPN, 40V, 0.2A, NXP, MMBT3904DW1, SOT363","","","","","NXP","MMBT3904DW1","SOT363","","","","40V","0.2A","","DUAL NPN","R440"
"209f8628-6cdf-4456-bf76-d07a737a98cc","BJT, NPN, 40V, 0.2A, CENTRAL SEMI, CMPT3904, SOT23","","","","","CENTRAL SEMI","CMPT3904","SOT23","","","","40V","0.2A","","NPN","R437"
"10a8bf3b-c38e-493a-a590-14a03138e05f","BJT, NPN 9GHZ, 15V, 0.12A, NXP, BFG541, SOT223","","","","","NXP","BFG541","SOT223","","","","15V","0.12A","","NPN 9GHZ","R491"
"746d6ac9-f9b0-4982-a7c0-805dd3fb3bd8","BJT, DUAL JFET N-CH, 50V, 0.05A, INTERFET, U232, TO18-6","","","","","INTERFET","U232","TO18-6","","","","50V","0.05A","","DUAL JFET N-CH","A0093"
"c536a066-7e37-4e80-a695-cf158de32b74","BJT, PNP, 40V, 0.6A, ONSEMI, 2N2907, TO18","","","","","ONSEMI","2N2907","TO18","","","","40V","0.6A","","PNP","A0151"
"381cb7b1-7add-4103-966d-aecdd0799283","BJT, THYRISTOR, 600V, 5A, TI, TIC106M, TO220","","","","","TI","TIC106M","TO220","","","","600V","5A","","THYRISTOR","A0036"
"132da1bc-ad11-4760-9972-ee677fbe7765","BJT, DUAL PNP, 12V, 2.5A, DIODES INC, ZDT717CT, SM8","","","","","DIODES INC","ZDT717CT","SM8","","DIGIKEY","ZDT717CT","12V","2.5A","","DUAL PNP","A0068"
"9a0a25dd-427b-4786-b21f-b836efd79af4","BJT, NPN, 30V, 0.5A, NXP, BSR13, SOT23","","","","","NXP","BSR13","SOT23","","","","30V","0.5A","","NPN","A0074"
"3c70fa28-4fa0-48ac-94a0-4a3630834874","BJT, PNP, 65V, 0.1A, NXP, BC856B, SOT23","","","","","NXP","BC856B","SOT23","","","","65V","0.1A","","PNP","A0077"
"6da35969-ee84-4e51-b745-5c9750cb8359","BJT, NPN, 40V, 0.2A, ONSEMI, MMBT3904, SOT23","","","","","ONSEMI","MMBT3904","SOT23","","","","40V","0.2A","","NPN","A0165"
"6b1b6afd-4401-4583-a2c1-1191ec57a27e","BJT, PNP, 80V, 1.5A, DIOTEC, BD140-16-CDI, TO126","","","","","DIOTEC","BD140-16-CDI","TO126","","","","80V","1.5A","","PNP","A0182"
"f358cd92-4cbd-47ca-ae33-103b705073fb","BJT, PNP, 80V, 1.5A, NXP, BD140, TO126","","","","","NXP","BD140","TO126","","DIGIKEY","497-6657-5-ND","80V","1.5A","","PNP","A0239"
