"Index","Library Ref","Library Path","Footprint Ref","Footprint Path","Description","Manufacturer 1","Manufacturer Part Number 1","Location","LCSC","Digikey","Mouser","TME","JAMECO","Package","Supplier","Supplier PartNo","Vceo","Ic","GenericName","BJTtype","Mounting"
"4a9117b2-d683-4795-991c-49cf2f949727","","","","","TRANSISTOR,PNP,65V,0.1A,BC856,SOT23,SMD","NXP","BC856A,215","R65","","","","","","SOT23","","","65V","0.1A","BC856","PNP","SMD"
"3738395b-9a12-41bd-bc1e-99d26a886477","","","","","TRANSISTOR,NPN,65V,0.1A,BC846,SOT23,SMD","NXP","BC846A,215","R69","","","","","","SOT23","","","65V","0.1A","BC846","NPN","SMD"
"14d2e1f7-94e6-48b0-9ac1-8e64ca0f6bb5","","","","","TRANSISTOR,NPN,PREBIASED,50V,0.1A,DTC144EKA,SOT23,SMD","ROHM","DTC144EKA","R114","","","","","","SOT23","","","50V","0.1A","DTC144EKA","NPN,PREBIASED","SMD"
"29653e9b-5cc7-41cd-9a54-18b73a4c9e34","","","","","TRANSISTOR,PNP,45V,0.5A,BCX71,SOT23,SMD","NXP","BCX71K","R115, R116","","","","","","SOT23","","","45V","0.5A","BCX71","PNP","SMD"
"03ea9901-d782-4ecc-8cce-452b38aa8754","","","","","TRANSISTOR,NPN,40V,0.2A,MMBT3904,SOT23,SMD","LESHAN","MMBT3904","R120","","","","","","SOT23","","","40V","0.2A","MMBT3904","NPN","SMD"
"a5a4e4ff-0208-4d13-95c5-a76805eafa1c","","","","","TRANSISTOR,NPN,40V,0.2A,LMBT3904,SOT23,SMD","LESHAN","LMBT3904LT16","R122, R123, R124","","","","","","SOT23","","","40V","0.2A","LMBT3904","NPN","SMD"
"6032f3d8-8c65-4f75-a65d-16acf577ee69","","","","","TRANSISTOR,NPN,40V,0.6A,MMBT2222,SOT23,SMD","ONSEMI","MMBT2222","R214","","","","","","SOT23","","","40V","0.6A","MMBT2222","NPN","SMD"
"3918f7f0-e918-4c2e-b84e-e8f93e1648fe","","","","","TRANSISTOR,JFET N-CHAN,35V,0.005A,J112,TO92,TH","SILICONIX","J112","","","","","","954390","TO92","JAMECO","954390","35V","0.005A","J112","JFET N-CHAN","TH"
"f270b16f-3b79-4b75-b036-3fd4455de2a0","","","","","TRANSISTOR,JFET N-CHAN,25V,0.01A,J110,TO92,TH","SILICONIX","J110","","","","","","814143","TO92","JAMECO","814143","25V","0.01A","J110","JFET N-CHAN","TH"
"d39a0ea8-c46e-4d5a-8588-bbed8ae536e7","","","","","TRANSISTOR,NPN,60V,0.5A,MPSA05,TO92,TH","ONSEMI","MPSA05","A0185","","","","","297799","TO92","JAMECO","297799","60V","0.5A","MPSA05","NPN","TH"
"25fcf727-431c-491d-894a-ab1b6e1253b7","","","","","TRANSISTOR,DUAL NPN DIGITAL,50V,0.1A,UMH11,SOT363,SMD","ROHM","UMH11","R321","","","","","","SOT363","","","50V","0.1A","UMH11","DUAL NPN DIGITAL","SMD"
"896cebfe-17d0-4bd2-b08e-964cd4f7bf83","","","","","TRANSISTOR,PNP,DIGITAL,50V,0.1A,DTA114,SC75","ROHM","DTA114","R324","","","","","","SC75","","","50V","0.1A","DTA114","PNP,DIGITAL",""
"f848d294-457d-4f34-9fc8-689841ce7562","","","","","TRANSISTOR,NPN,40V,0.6A,MMST4401,SC59","ROHM","MMST4401","R351, R344, R349, R350, R441, R442, R443, R444 TO 448","","","","","","SC59","","","40V","0.6A","MMST4401","NPN",""
"4c499ad9-5cf0-4c9c-a4fa-036d63175672","","","","","TRANSISTOR,NPN,SWITCHING,15V,0.2A,MMBT2369,SOT23,SMD","ONSEMI","MMBT2369","R338, R341","","","","","","SOT23","","","15V","0.2A","MMBT2369","NPN,SWITCHING","SMD"
"4f77b780-13b7-4e20-be22-04b82437da8d","","","","","TRANSISTOR,NPN 7GHZ,12V,0.1A,2SC3356,SOT23,SMD","NEC","2SC3356","R342","","","","","","SOT23","","","12V","0.1A","2SC3356","NPN 7GHZ","SMD"
"2a9232ba-cb80-427e-a971-cd1ea35cb514","","","","","TRANSISTOR,NPN,40V,0.2A,MMBT3904,SOT23,SMD","ONSEMI","MMBT3904","R345, R346","","","","","","SOT23","","","40V","0.2A","MMBT3904","NPN","SMD"
"30cd208b-48a5-4ce9-845d-9ffcbad4fb33","","","","","TRANSISTOR,NPN,40V,0.2A,SMBT3904,SOT23,SMD","SIEMENS","SMBT3904","R347, R348, R438, R439","","","","","","SOT23","","","40V","0.2A","SMBT3904","NPN","SMD"
"a6fff5dc-60ae-40f0-838c-7fe12634c4fd","","","","","TRANSISTOR,NPN,300V,0.5A,MMBTA42LT1,SOT23,SMD","ONSEMI","MMBTA42LT1","R456, R473","","","","","","SOT23","","","300V","0.5A","MMBTA42LT1","NPN","SMD"
"ce7d9ed6-9af1-4f03-87e2-4748e55e54eb","","","","","TRANSISTOR,NPN,30V,0.1A,BC848B,SOT23,SMD","NXP","BC848B","R433, R434","","","","","","SOT23","","","30V","0.1A","BC848B","NPN","SMD"
"24484a73-aed4-47a9-841d-d66964dbe3c4","","","","","TRANSISTOR,PNP,50V,0.1A,MMUN2111LT1,SOT23,SMD","ONSEMI","MMUN2111LT1","R435, R436","","","","","","SOT23","","","50V","0.1A","MMUN2111LT1","PNP","SMD"
"3dba7ac3-691b-4b3d-8c35-99551767e682","","","","","TRANSISTOR,DUAL,NPN,40V,0.2A,MMBT3904DW1,SOT363,SMD","NXP","MMBT3904DW1","R440","","","","","","SOT363","","","40V","0.2A","MMBT3904DW1","DUAL,NPN","SMD"
"209f8628-6cdf-4456-bf76-d07a737a98cc","","","","","TRANSISTOR,NPN,40V,0.2A,CMPT3904,SOT23,SMD","CENTRAL SEMI","CMPT3904","R437","","","","","","SOT23","","","40V","0.2A","CMPT3904","NPN","SMD"
"10a8bf3b-c38e-493a-a590-14a03138e05f","","","","","TRANSISTOR,NPN 9GHZ,15V,0.12A,BFG541,SOT223,SMD","NXP","BFG541","R491","","","","","","SOT223","","","15V","0.12A","BFG541","NPN 9GHZ","SMD"
"746d6ac9-f9b0-4982-a7c0-805dd3fb3bd8","","","","","TRANSISTOR,DUAL JFET N-CH,50V,0.05A,U232,TO18-6,TH","INTERFET","U232","A0093","","","","","","TO18-6","","","50V","0.05A","U232","DUAL JFET N-CH","TH"
"c536a066-7e37-4e80-a695-cf158de32b74","","","","","TRANSISTOR,PNP,40V,0.6A,2N2907,TO18,TH","ONSEMI","2N2907","A0151","","","","","","TO18","","","40V","0.6A","2N2907","PNP","TH"
"381cb7b1-7add-4103-966d-aecdd0799283","","","","","TRANSISTOR,THYRISTOR,600V,5A,TIC106M,TO220,TH","TI","TIC106M","A0036","","","","","","TO220","","","600V","5A","TIC106M","THYRISTOR","TH"
"132da1bc-ad11-4760-9972-ee677fbe7765","","","","","TRANSISTOR,DUAL,PNP,12V,2.5A,ZDT717CT,SM8","DIODES INC","ZDT717CT","A0068","","ZDT717CT","","","","SM8","DIGIKEY","ZDT717CT","12V","2.5A","ZDT717CT","DUAL,PNP",""
