"Index","Library Ref","Library Path","Footprint Ref","Footprint Path","Description","Manufacturer 1","Manufacturer Part Number 1","Location","LCSC","Digikey","Mouser","TME","Manufacturer","Manufacturer PartNo","Package","AEC-Q","Frequency","Tempco","Supplier","Supplier PartNo"
"e1cf9ce7-eec0-4120-b79d-883d4525c5ba","","","","","CRYSTAL, 25MHz, CTS, ATS250BSM-1, HC49/US","","","R95","","","","","CTS","ATS250BSM-1","HC49/US","","25MHz","","",""
"91b61649-46e9-469f-ad99-5e462cee51d3","","","","","CRYSTAL, 32.768KHZ, SEIKO, VT200F-6PF20PPM, CAN-TH","","","R96","","","","","SEIKO","VT200F-6PF20PPM","CAN-TH","","32.768KHZ","","",""
"3a2aaa14-09c6-4f16-8191-106a43b012da","","","","","CRYSTAL, 16MHZ, EPSON, TSX-3225-16.0000MF09Z-AC0, 3225","","","R129","","","","","EPSON","TSX-3225-16.0000MF09Z-AC0","3225","","16MHZ","","",""
"6c64edd6-ed29-4d2d-900e-e10216cbad42","","","","","CRYSTAL, 22.11, EPSON, FS22.11, HC49/US","","","R373","","","","","EPSON","FS22.11","HC49/US","","22.11","","",""
"8c15da46-8616-4a9d-9864-8b3fb728b6ee","","","","","CRYSTAL OSC, 25MHZ, VISHAY, XOSM573BE-25, 7050","","","R374","","","","","VISHAY","XOSM573BE-25","7050","","25MHZ","","",""
"dce94a6c-7863-43d9-b337-6a2993292d1d","","","","","CRYSTAL, 16MHZ, MISC, A160E07, HC49/US","","","R512","","","","","MISC","A160E07","HC49/US","","16MHZ","","",""
"767d9b0e-51e0-450d-adba-d756207ce3cb","","","","","CRYSTAL, 110.592MHZ, FOX, FOX115, HC49TH","","","A0025","","","","","FOX","FOX115","HC49TH","","110.592MHZ","","",""
"485edb90-a445-4404-92bf-a0c9598e15ad","","","","","CRYSTAL, 4MHZ, MISC, MISC, HC49TH","","","A0582","","","","","MISC","MISC","HC49TH","","4MHZ","","",""
"d16c41ec-a888-4d25-93fa-49e9494df468","","","","","CRYSTAL, 8MHZ, ABRACON, ABLS-8.000MHZ-B4-T, HC49/US","","","R639","","","","","ABRACON","ABLS-8.000MHZ-B4-T","HC49/US","","8MHZ","","","535-10212-1-ND"
"467be71a-8fde-4c12-8be4-0c4a47a9cfa6","","","","","CRYSTAL, 32.768KHZ, ABRACON, ABS07AIG-32.768KHZ-7-T, 3215","","","","","","","","ABRACON","ABS07AIG-32.768KHZ-7-T","3215","","32.768KHZ","","","535-13350-1-nd"
"b961dc52-f578-4e86-9936-f30ff82a3979","","","","","","","","R753","","","","","TDK","SX32Y016000B91T","3225","","16MHZ","","",""
"d64de6b5-657f-4d6d-a812-14026b366a01","","","","","","","","R757","","","","","EPSON","FC-135R 32.7680KA-A3","3215","","32.768K","","",""
"aaede13c-7a39-49d4-9229-04ef60725efd","","","","","","","","A0369","","","","","","FS6.000","HC49/US","","6.0MHz","","",""
"8bf26b45-540b-4445-9812-cd2142558d84","","","","","","","","A0712, A0723","","","","","","FS0496-2","HC49TH","","4.096MHz","","",""
"7eb508f1-9d9e-49ec-80eb-6cf99322328d","","","","","","","","A0724","","","","","","FS6.176","HC49TH","","6.176MHz","","",""
"394c3aa4-3fee-4f83-80f8-b0436093ed84","","","","","","","","A0780, A0827, A0828, A0848, A0849, A0850","","","","","","SG615G-20","","","20MHz","","",""
"5e2b9364-6c9f-44e3-94a6-b0c5f32be54f","","","","","","","","A0797","","","","","","ILSI-12.0-113","","","12MHz","","",""
"0e9f22ed-40a5-420c-8e1e-03ea873896a6","","","","","","","","","","","","","","FF","","","","","",""
