"Index","Library Ref","Library Path","Footprint Ref","Footprint Path","Description","Manufacturer 1","Manufacturer Part Number 1","Location","LCSC","Digikey","Mouser","TME","MECHtype","JAMECO","Package","Mounting"
"be38b408-6b65-4c79-86c5-96a5d2effe00","","","","","MECH","","","A0727","","","","","","","",""
"7c0ef232-2f8f-4e6d-8d04-d73d3f6c8a79","","","","","MECH","","","A0730","","","","","","","",""
"4ea8e02e-a48b-4dca-89b9-b344c76cc0f9","","","","","MECH,KNOB,ROTARY,CAP,SIZE 40,GREY,OKW,A3240107","OKW","A3240107","A1025","","","","","KNOB,ROTARY,CAP,SIZE 40,GREY","","",""
"53477641-f49b-46c5-9a7e-9e0acffa4b31","","","","","MECH,KNOB,16MM DIA,BLACK,6MM D-SHAFT,OKW,A1016649","OKW","A1016649","A1026,A1027","","","","","KNOB,16MM DIA,BLACK","","","6MM D-SHAFT"
"06415d02-f2af-4974-84c0-80024cf8a698","","","","","MECH,KNOB,CAP,K21,BLACK,CLIFF,K21-BLK","CLIFF","K21-BLK","A1028","","","","","KNOB,CAP,K21,BLACK","","",""
"8b6d7666-a2f6-476c-b9fb-329432336ad7","","","","","MECH,KNOB,CAP,K85,YELLOW,CLIFF,K85-YEL","CLIFF","K85-YEL","A1029","","","","","KNOB,CAP,K85,YELLOW","","",""
"ce48bb27-3ff8-4e4b-aeee-5e02b74bbc76","","","","","MECH,KNOB,CAP,K85,RED,LINE,CLIFF,K85-RED-L","CLIFF","K85-RED-L","A1031","","","","","KNOB,CAP,K85,RED,LINE","","",""
"41bf240d-7432-4e04-a734-e0a17891d2f6","","","","","MECH,KNOB,CAP,K21,BLACK,LINE,CLIFF,K21-BLK-L","CLIFF","K21-BLK-L","A1032","","","","","KNOB,CAP,K21,BLACK,LINE","","",""
"319988ab-a598-4054-a33f-c8b0c3100fcd","","","","","MECH,KNOB,CAP,K85,BLACK,CLIFF,K85-BLK","CLIFF","K85-BLK","A1033","","","","","KNOB,CAP,K85,BLACK","","",""
"cb22073a-c1a9-4dad-a81c-1726a5c335f1","","","","","MECH,KNOB,CAP,K85,BLUE,LINE,CLIFF,K85-BLU-L","CLIFF","K85-BLU-L","A1034","","","","","KNOB,CAP,K85,BLUE,LINE","","",""
"663dd2ac-3154-4be7-8194-0d20b032b668","","","","","MECH,KNOB,ROTARY,CAP,SIZE 40,AQUA,OKW,A3240106","OKW","A3240106","A1035","","","","","KNOB,ROTARY,CAP,SIZE 40,AQUA","","",""
"ffdbb028-ed0f-4cc9-96ec-ffcaeb61f5af","","","","","MECH,KNOB,POINTER,ROUND,SAND,OKW,A1101004","OKW","A1101004","A1036","","","","","KNOB,POINTER,ROUND,SAND","","",""
"39e2e1a0-9eb8-4cd5-adc6-e1eb65ef31b4","","","","","MECH,KNOB,POINTER,ROUND,OPAL,OKW,A1101003","OKW","A1101003","A1037","","","","","KNOB,POINTER,ROUND,OPAL","","",""
"c0c17507-e47a-4fd3-9227-73a9c3c43057","","","","","MECH,KNOB,POINTER,ROUND,AQUA,OKW,A1101006","OKW","A1101006","A1038","","","","","KNOB,POINTER,ROUND,AQUA","","",""
