"Index","Library Ref","Library Path","Footprint Ref","Footprint Path","Description","Manufacturer 1","Manufacturer Part Number 1","Location","LCSC","Digikey","Mouser","TME","Manufacturer","Manufacturer PartNo","Package","AEC-Q","Mounting","Switchtype","Voltage","Supplier","Supplier PartNo"
"14487679-185c-45e2-b0c8-36123c435e8f","","","","","","","","A0003","","","","","NAIS","DS2Y-SL2-DC12V","","","","","","",""
"f3cf453a-00cd-4607-a2f0-879833dcc2aa","","","","","","","","A0001, A0046, A0016","","","","","OMRON","G6K-2F 12V","","","","","","",""
"c36caae4-72eb-4397-afa5-8d3150503bdc","","","","","","","","A0030","","","","","TAKAMISAWA","MZ-12HG-C","","","","","","",""
"a0b22350-43ea-4d48-838c-3be15a1ae6bd","","","","","","","","A0038","","","","","NAIS","TQ2-5V","","","","","","",""
"b78aa191-4a17-4590-8372-b7cc5f531ade","","","","","","","","A0051","","","","","SHARP","S201S06V","","","","","","",""
"94483ebe-92b2-4f9e-be4d-703616c15350","","","","","","","","A0066","","","","","SHARP","S202T02","","","","","","",""
"d14ac42b-bcc8-44eb-a430-c68e0b9932a4","","","","","","","","A0059, A0050","","","","","MAGNECRAFT","W172DIP-35","","","","","","",""
"4895c6e7-50ed-4915-957c-fea3ed5be1fd","","","","","","","","A007, A0071, A0072","","","","","HONGFA","HF41F 5-ZST","","","","","","",""
"b3df9bc6-0764-4c8d-9841-b656f10a048c","","","","","","","","A0168","","","","","NAIS","TQ2SA-5V","","","","","","",""
"c5f27f05-fcac-4667-bc9d-0ddc6b055903","","","","","","","","A0603","","","","","AXICOM","MT2C93432","","","","","","TE","6-1462000-2"
"3b34d14d-0dce-4ce0-b51e-613f6818611a","","","","","","","","A0632","","","","","MAGNECRAFT","W76URCPCX-16","","","","","","",""
"42216170-41a2-485c-8c99-2bac72797c4f","","","","","","","","A0277","","","","","ZETTLER","AZ9571-1C-12DSE","","","","","","",""
"c073882e-c7c8-485c-84b7-77848aefee84","","","","","","","","A0291","","","","","COTO","9007-05-00","","","","","","",""
"ac23114c-1b9e-41b7-9d56-cdf6875fd3b4","","","","","","","","A0649","","","","","SONG CHUAN","882-1AH-C 24VDC","","","","","","",""
"c13067d6-7ecf-4b00-9f12-83a27df24ff1","","","","","","","","A0528","","","","","OMRON","G3MB-202P","","","","","","",""
"11dafb05-0918-488c-895a-6a0793b4aa6f","","","","","","","","A0504","","","","","PANASONIC","ALQ3F12","","","","","","","255-5407-ND"
"4d636f89-a58d-4569-95bd-1e050e370e46","","","","","","","","A0426","","","","","TAKAMISAWA","A5W-8","","","","","","",""
"07fce907-84a9-401e-b01c-cd5c902087fc","","","","","","","","A0711","","","","","MAGNECRAFT","W171DIP-70","","","","","","",""
"79e9b734-8fc5-4f59-b279-e0d1715af3fb","","","","","","","","A0711","","","","","MAGNECRAFT","W172DIP-5","","","","","","",""
"399a2ddf-f7f0-43a5-a499-7487239aec08","","","","","RELAY, OPTOMOS, NC, SMT","","","A0751","","","","","PANASONIC","AQY414","SOP4","","","","","",""
"e065741e-f50d-4097-b80e-4be5d12ec489","","","","","","","","A0754, A0777, A0793","","","","","AROMAT","DS2E-SL2-DC12V","","","","","","",""
"eb121629-a7b0-4c0b-a4c6-30d83a1188bd","","","","","","","","A0755, A0756, A0779","","","","","AROMAT","DS4E-M-DC5V","","","","","","",""
"0516767a-4d52-4b20-a2ae-a2951e395670","","","","","","","","A0757, A0758, A0759, A0760","","","","","SONG CHUAN","882-1AH-C 24V","","","","","","",""
"763e2b90-4ac8-4e5c-868a-c4688b0fa034","","","","","","","","A0776","","","","","PANASONIC","ACTB32","","","","","","",""
"4e1dada7-6f2c-4fc0-ba1c-b0de0c424739","","","","","","","","A0778, A0788","","","","","AROMAT","DS2YE-S-DC24V","","","","","","",""
"78f98a79-a7ab-4db0-864d-7b6ac563f769","","","","","","","","A0787","","","","","NEC","UB2-3NU","","","","","","",""
"4c9035c6-d503-4480-a793-6ac24ebd3ecd","","","","","","","","A0800","","","","","OMRON","G2R-24 DC 12V","","","","","","",""
"c450074f-8592-4774-9bfc-6a08f25a7744","","","","","","","","A0798","","","","","NEC","EA2-5TNJ","","","","","","",""
"0f166bc1-4a20-49f4-b257-b4c6438f2bb8","","","","","","","","A0808, A0810","","","","","OMRON","G6A-234P-ST-US 5V","","","","","","",""
"fc2cae3a-85b1-47c1-92c8-90c900c7eade","","","","","","","","A0809","","","","","AROMAT","DS2E-S-DC12V","","","","","","",""
